Results for:	RMS Wave Error vs. Field


File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\CN210573001_Example01P.zmx
Title:	CN 210573001 Example 1 (Venus Laowa 24mm f14 2X Macro Probe)
Date:	11/7/2025 4:46:18 PM

0 message(s) in output.
RMS units are in waves.
Reference: Centroid.
Field units are in Millimeters.
1 series table(s) in output.

Table series: Field is oriented along the +y direction.
           Field            Poly          0.4861          0.5876          0.6563
  --------------  --------------  --------------  --------------  --------------
      0.00000000      0.13543776      0.19606490     0.016925478      0.12768023
       1.4400000      0.13527330      0.19577253     0.017369591      0.12754212
       2.8800000      0.13483644      0.19498784     0.018997759      0.12713752
       4.3200000      0.13429808      0.19397599     0.022383208      0.12648379
       5.7600000      0.13394342      0.19314150     0.027800992      0.12557894
       7.2000000      0.13415954      0.19298573     0.035079297      0.12438238
       8.6400000      0.13540207      0.19408078     0.043854204      0.12283517
       10.080000      0.13815169      0.19710949     0.053785231      0.12094948
       11.520000      0.14291439      0.20305357     0.064611648      0.11898208
       12.960000      0.15037585      0.21364796     0.076087615      0.11766683
       14.400000      0.16185564      0.23220224     0.087813112      0.11838286
       15.840000      0.18013005      0.26466229     0.098980717      0.12297211
       17.280000      0.21029693      0.32021371      0.10812119      0.13293430
       18.720000      0.25960430      0.41039801      0.11309553      0.14832967
       20.160000      0.33507287      0.54648054      0.11212368      0.16731639
       21.600000      0.43905392      0.73499145      0.10857270      0.18676407
