Results for:	Listing of Longitudinal Aberration Data


File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\DE00975637_Example01P.zmx
Title:	DE 975 637 C Example 1 (Schneider Super-Angulon 8 / 90)
Date:	11/7/2025 3:43:26 PM

0 message(s) in output.
1 series table(s) in output.

Table series: Units are Millimeters.
      Rel. Pupil          0.4861          0.5876          0.6563
  --------------  --------------  --------------  --------------
      0.00000000     -0.14155031  1.9770046E-003      0.17170124
     0.010000000     -0.14164031  1.8617189E-003      0.17157714
     0.020000000     -0.14200018  1.4006798E-003      0.17108081
     0.030000000     -0.14259957  6.3265037E-004      0.17025397
     0.040000000     -0.14343788 -4.4181403E-004      0.16909715
     0.050000000     -0.14451428 -1.8219387E-003      0.16761110
     0.060000000     -0.14582770 -3.5067227E-003      0.16579681
     0.070000000     -0.14737682 -5.4949410E-003      0.16365547
     0.080000000     -0.14916008 -7.7851424E-003      0.16118850
     0.090000000     -0.15117569    -0.010375647      0.15839754
      0.10000000     -0.15342160    -0.013264546      0.15528446
      0.11000000     -0.15589550    -0.016449697      0.15185135
      0.12000000     -0.15859485    -0.019928722      0.14810052
      0.13000000     -0.16151683    -0.023699005      0.14403455
      0.14000000     -0.16465840    -0.027757688      0.13965622
      0.15000000     -0.16801621    -0.032101669      0.13496855
      0.16000000     -0.17158667    -0.036727597      0.12997484
      0.17000000     -0.17536592    -0.041631866      0.12467859
      0.18000000     -0.17934981    -0.046810612      0.11908358
      0.19000000     -0.18353393    -0.052259710      0.11319385
      0.20000000     -0.18791356    -0.057974767      0.10701369
      0.21000000     -0.19248369    -0.063951113      0.10054766
      0.22000000     -0.19723902    -0.070183802     0.093800589
      0.23000000     -0.20217395    -0.076667600     0.086777601
      0.24000000     -0.20728256    -0.083396980     0.079484095
      0.25000000     -0.21255858    -0.090366115     0.071925765
      0.26000000     -0.21799547    -0.097568872     0.064108605
      0.27000000     -0.22358630     -0.10499880     0.056038922
      0.28000000     -0.22932381     -0.11264913     0.047723336
      0.29000000     -0.23520040     -0.12051274     0.039168795
      0.30000000     -0.24120809     -0.12858220     0.030382581
      0.31000000     -0.24733853     -0.13684969     0.021372321
      0.32000000     -0.25358296     -0.14530705     0.012146000
      0.33000000     -0.25993225     -0.15394575  2.7119636E-003
      0.34000000     -0.26637684     -0.16275686 -6.9210609E-003
      0.35000000     -0.27290676     -0.17173106    -0.016743959
      0.36000000     -0.27951159     -0.18085860    -0.026747214
      0.37000000     -0.28618046     -0.19012935    -0.036920895
      0.38000000     -0.29290204     -0.19953270    -0.047254642
      0.39000000     -0.29966451     -0.20905761    -0.057737653
      0.40000000     -0.30645556     -0.21869256    -0.068358665
      0.41000000     -0.31326234     -0.22842555    -0.079105945
      0.42000000     -0.32007149     -0.23824409    -0.089967265
      0.43000000     -0.32686909     -0.24813515     -0.10092989
      0.44000000     -0.33364065     -0.25808518     -0.11198058
      0.45000000     -0.34037107     -0.26808006     -0.12310548
      0.46000000     -0.34704464     -0.27810509     -0.13429026
      0.47000000     -0.35364502     -0.28814499     -0.14551994
      0.48000000     -0.36015521     -0.29818384     -0.15677895
      0.49000000     -0.36655750     -0.30820508     -0.16805110
      0.50000000     -0.37283348     -0.31819147     -0.17931952
      0.51000000     -0.37896399     -0.32812508     -0.19056666
      0.52000000     -0.38492911     -0.33798726     -0.20177428
      0.53000000     -0.39070809     -0.34775860     -0.21292338
      0.54000000     -0.39627938     -0.35741891     -0.22399421
      0.55000000     -0.40162052     -0.36694716     -0.23496620
      0.56000000     -0.40670818     -0.37632152     -0.24581796
      0.57000000     -0.41151808     -0.38551923     -0.25652725
      0.58000000     -0.41602494     -0.39451663     -0.26707089
      0.59000000     -0.42020247     -0.40328909     -0.27742479
      0.60000000     -0.42402331     -0.41181098     -0.28756388
      0.61000000     -0.42745899     -0.42005565     -0.29746204
      0.62000000     -0.43047988     -0.42799533     -0.30709213
      0.63000000     -0.43305514     -0.43560113     -0.31642586
      0.64000000     -0.43515266     -0.44284297     -0.32543379
      0.65000000     -0.43673901     -0.44968954     -0.33408527
      0.66000000     -0.43777939     -0.45610822     -0.34234839
      0.67000000     -0.43823755     -0.46206506     -0.35018991
      0.68000000     -0.43807573     -0.46752469     -0.35757521
      0.69000000     -0.43725460     -0.47245025     -0.36446822
      0.70000000     -0.43573319     -0.47680336     -0.37083136
      0.71000000     -0.43346877     -0.48054399     -0.37662547
      0.72000000     -0.43041685     -0.48363044     -0.38180973
      0.73000000     -0.42653100     -0.48601924     -0.38634158
      0.74000000     -0.42176284     -0.48766505     -0.39017667
      0.75000000     -0.41606189     -0.48852059     -0.39326871
      0.76000000     -0.40937550     -0.48853653     -0.39556942
      0.77000000     -0.40164872     -0.48766142     -0.39702845
      0.78000000     -0.39282422     -0.48584153     -0.39759322
      0.79000000     -0.38284211     -0.48302080     -0.39720887
      0.80000000     -0.37163988     -0.47914069     -0.39581810
      0.81000000     -0.35915224     -0.47414003     -0.39336106
      0.82000000     -0.34531093     -0.46795495     -0.38977525
      0.83000000     -0.33004464     -0.46051868     -0.38499533
      0.84000000     -0.31327883     -0.45176143     -0.37895302
      0.85000000     -0.29493551     -0.44161022     -0.37157691
      0.86000000     -0.27493311     -0.42998871     -0.36279231
      0.87000000     -0.25318627     -0.41681703     -0.35252109
      0.88000000     -0.22960562     -0.40201158     -0.34068146
      0.89000000     -0.20409760     -0.38548483     -0.32718780
      0.90000000     -0.17656415     -0.36714510     -0.31195044
      0.91000000     -0.14690254     -0.34689633     -0.29487541
      0.92000000     -0.11500507     -0.32463783     -0.27586424
      0.93000000    -0.080758746     -0.30026400     -0.25481368
      0.94000000    -0.044045049     -0.27366411     -0.23161543
      0.95000000 -4.7395519E-003     -0.24472192     -0.20615583
      0.96000000     0.037288407     -0.21331539     -0.17831560
      0.97000000     0.082176066     -0.17931640     -0.14796944
      0.98000000      0.13006781     -0.14259019     -0.11498567
      0.99000000      0.18111532     -0.10299520    -0.079225907
       1.0000000      0.23547825    -0.060382523    -0.040544626
