Results for:	Relative Illumination Data


File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\DE02444954_Example04P.zmx
Title:	DE 2444954 Example 4 (Rodenstock Grandagon-N 65mm f5.6)
Date:	11/7/2025 4:07:06 PM

0 message(s) in output.
Wavelength: 0.587562 µm
Field values are in Millimeters
Relative Illumination values are dimensionless.
1 series table(s) in output.

Table series: See program documentation for a discussion of Effective F/#.
         Y Field        Rel. Ill   Effective F/#
  --------------  --------------  --------------
      0.00000000       1.0000000       4.7105013
       4.1750000      0.98850002       4.7378225
       8.3500000      0.96398410       4.7976901
       12.525000      0.93448538       4.8728257
       16.700000      0.88686296       5.0019445
       20.875000      0.80503617       5.2500016
       25.050000      0.70097432       5.6262118
       29.225000      0.63213424       5.9246469
       33.400000      0.55725472       6.3101583
       37.575000      0.47031480       6.8686725
       41.750000      0.40986224       7.3578034
       45.925000      0.33901904       8.0901223
       50.100000      0.28939760       8.7562806
       54.275000      0.24386267       9.5388160
       58.450000      0.20518053       10.399179
       62.625000      0.17098848       11.391573
       66.800000      0.12753651       13.190154
       70.975000     0.089607705       15.736004
       75.150000     0.077226724       16.950532
       79.325000     0.050216979       21.020442
       83.500000     0.032282931       26.216859
