Results for:	Relative Illumination Data


File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\DE02818394_Example01P.zmx
Title:	DE 2818394 Example 1 (Rodenstock Geronar 210mm f6.8)
Date:	11/7/2025 4:07:08 PM

0 message(s) in output.
Wavelength: 0.587562 µm
Field values are in Millimeters
Relative Illumination values are dimensionless.
1 series table(s) in output.

Table series: See program documentation for a discussion of Effective F/#.
         Y Field        Rel. Ill   Effective F/#
  --------------  --------------  --------------
      0.00000000      0.99637775       7.2097603
       5.2500000       1.0000000       7.1966907
       10.500000      0.99083317       7.2299046
       15.750000      0.96057057       7.3429099
       21.000000      0.91258560       7.5334868
       26.250000      0.89179138       7.6208112
       31.500000      0.85390002       7.7880607
       36.750000      0.81183264       7.9872924
       42.000000      0.76454004       8.2306232
       47.250000      0.73046535       8.4204059
       52.500000      0.69143357       8.6548113
       57.750000      0.63907890       9.0023439
       63.000000      0.59880935       9.3001199
       68.250000      0.56647264       9.5618817
       73.500000      0.51443768       10.033823
       78.750000      0.48200578       10.365893
       84.000000      0.44434281       10.796271
       89.250000      0.39782418       11.410042
       94.500000      0.37065312       11.820858
       99.750000      0.33147908       12.499849
       105.00000      0.29321935       13.290353
