Results for:	Relative Illumination Data


File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\EP3136147_Example01P.zmx
Title:	EP 3 136 147 Example 1 (Leica Summilux-SL 50 f/1.4 ASPH)
Date:	11/7/2025 4:07:11 PM

0 message(s) in output.
Wavelength: 0.587562 µm
Field values are in Millimeters
Relative Illumination values are dimensionless.
1 series table(s) in output.

Table series: See program documentation for a discussion of Effective F/#.
         Y Field        Rel. Ill   Effective F/#
  --------------  --------------  --------------
      0.00000000       1.0000000       1.5063700
       1.0820000      0.99363347       1.5111881
       2.1640000      0.97179967       1.5280701
       3.2460000      0.96724789       1.5316613
       4.3280000      0.94776384       1.5473251
       5.4100000      0.90866281       1.5802663
       6.4920000      0.86312841       1.6214141
       7.5740000      0.80594188       1.6779530
       8.6560000      0.77379421       1.7124540
       9.7380000      0.74433931       1.7460077
       10.820000      0.67956583       1.8273253
       11.902000      0.64860069       1.8704364
       12.984000      0.60406895       1.9381545
       14.066000      0.54870341       2.0335873
       15.148000      0.49154605       2.1485702
       16.230000      0.45898807       2.2234683
       17.312000      0.41475106       2.3390413
       18.394000      0.32147098       2.6568116
       19.476000      0.30353904       2.7341628
       20.558000      0.27853227       2.8542623
       21.640000      0.24879064       3.0200534
