Results for:	Relative Illumination Data


File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\HandbookCamFig07.ZMX
Title:	
Date:	11/7/2025 4:07:24 PM

0 message(s) in output.
Wavelength: 0.558000 µm
Field values are in Millimeters
Relative Illumination values are dimensionless.
1 series table(s) in output.

Table series: See program documentation for a discussion of Effective F/#.
         Y Field        Rel. Ill   Effective F/#
  --------------  --------------  --------------
      0.00000000       1.0000000       2.1535646
       1.0000000      0.99918938       2.1544380
       2.0000000      0.99703836       2.1567608
       3.0000000      0.98783464       2.1667848
       4.0000000      0.96169413       2.1960359
       5.0000000      0.91445341       2.2520453
       6.0000000      0.88904096       2.2840049
       7.0000000      0.86227634       2.3191812
       8.0000000      0.80732269       2.3968140
       9.0000000      0.74303904       2.4983432
       10.000000      0.71032811       2.5552206
       11.000000      0.67738026       2.6166259
       12.000000      0.63303704       2.7067201
       13.000000      0.54196822       2.9253040
       14.000000      0.49997556       3.0456747
       15.000000      0.47000368       3.1412846
       16.000000      0.38376298       3.4763730
       17.000000      0.32096214       3.8012900
       18.000000      0.29323615       3.9769411
       19.000000      0.21620339       4.6315532
       20.000000      0.17331200       5.1730133
