Results for:	RMS Wave Error vs. Field


File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\JP1979-055424_Example01P.zmx
Title:	JP 1979-055424 Example 1 (Konica Minolta Hexanon 200mm F4)
Date:	11/7/2025 4:47:36 PM

0 message(s) in output.
RMS units are in waves.
Reference: Centroid.
Field units are in Millimeters.
1 series table(s) in output.

Table series: Field is oriented along the +y direction.
           Field            Poly          0.4861          0.5876          0.6563
  --------------  --------------  --------------  --------------  --------------
      0.00000000      0.74154160       1.0016148      0.11998579      0.79499872
       1.4400000      0.74838681       1.0011519      0.12042611      0.79502011
       2.8800000      0.76832333      0.99974642      0.12170557      0.79509658
       4.3200000      0.79970729      0.99734988      0.12370401      0.79526382
       5.7600000      0.84022215      0.99388435      0.12623447      0.79557750
       7.2000000      0.88728617      0.98924745      0.12905960      0.79610754
       8.6400000      0.93835932      0.98331924      0.13190974      0.79693072
       10.080000      0.99111452      0.97597150      0.13450137      0.79812164
       11.520000       1.0435034      0.96708029      0.13655731      0.79974274
       12.960000       1.0937622      0.95654319      0.13783341      0.80183394
       14.400000       1.1403936      0.94430456      0.13816164      0.80440284
       15.840000       1.1821469      0.93039471      0.13752918      0.80741687
       17.280000       1.2180090      0.91499381      0.13622959      0.81079981
       18.720000       1.2472167      0.89853977      0.13514356      0.81443667
       20.160000       1.2693031      0.88191205      0.13619747      0.81819407
       21.600000       1.2841955      0.86673996      0.14287695      0.82196817
