Results for:	RMS Wave Error vs. Field


File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\JP1980-028038_Example01_Tale26.zmx
Title:	Nikon AI Micro-Nikkor 55mm f/2.8 (JP1980-028038 Example 1)
Date:	11/7/2025 4:47:38 PM

0 message(s) in output.
RMS units are in waves.
Reference: Centroid.
Field units are in Millimeters.
1 series table(s) in output.

Table series: Field is oriented along the +y direction.
           Field            Poly          0.4861          0.5876          0.6563
  --------------  --------------  --------------  --------------  --------------
      0.00000000       1.0472703       1.4456631      0.96641431      0.51616522
       1.4410000       1.0604798       1.4597814      0.97822324      0.52655378
       2.8820000       1.0988124       1.5008075       1.0126561      0.55703772
       4.3230000       1.1584658       1.5647780       1.0667015      0.60539365
       5.7640000       1.2333391       1.6451662       1.1352800      0.66752371
       7.2050000       1.3152691       1.7330126       1.2112479      0.73728872
       8.6460000       1.3942468       1.8171219       1.2854954      0.80659056
       10.087000       1.4586309       1.8843466       1.3471349      0.86559756
       11.528000       1.4954270       1.9200125       1.3837795      0.90302120
       12.969000       1.4907769       1.9086658       1.3819774      0.90646919
       14.410000       1.4310635       1.8356763       1.3280907      0.86312619
       15.851000       1.3059806       1.6914170       1.2106545      0.76181659
       17.292000       1.1188003       1.4840322       1.0284325      0.60185537
       18.733000      0.92542646       1.2813032      0.82360223      0.44381073
       20.174000      0.93777881       1.3021158      0.79219993      0.55886110
       21.615000       1.4097510       1.8205185       1.2112244       1.0646026
