Results for:	RMS Wave Error vs. Field


File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\JP1997-211319_Example01P.zmx
Title:	JP 1997-211319 Example 1 (Canon EF180mm f3.5L Macro USM)
Date:	11/7/2025 4:47:57 PM

0 message(s) in output.
RMS units are in waves.
Reference: Centroid.
Field units are in Millimeters.
1 series table(s) in output.

Table series: Field is oriented along the +y direction.
           Field            Poly          0.4861          0.5876          0.6563
  --------------  --------------  --------------  --------------  --------------
      0.00000000      0.41301967      0.27339658  7.5373642E-003      0.66102439
       1.4400000      0.41524750      0.27311720  9.4718679E-003      0.65938387
       2.8800000      0.42189229      0.27267455     0.014284986      0.65469303
       4.3200000      0.43284974      0.27327918     0.020779253      0.64764251
       5.7600000      0.44799930      0.27702092     0.028132823      0.63938092
       7.2000000      0.46732407      0.28692695     0.035875696      0.63151969
       8.6400000      0.49112898      0.30689062     0.044685653      0.62615094
       10.080000      0.52034670      0.34130554     0.057566259      0.62586974
       11.520000      0.55684069      0.39438011     0.079792149      0.63375155
       12.960000      0.60349366      0.46934353      0.11642536      0.65316696
       14.400000      0.66375572      0.56768498      0.17015140      0.68725833
       15.840000      0.74035154      0.68819217      0.24088101      0.73792680
       17.280000      0.83310008      0.82534134      0.32514395      0.80429982
       18.720000      0.93613273      0.96668100      0.41447815      0.88074382
       20.160000       1.0352041       1.0893982      0.49374954      0.95459669
       21.600000       1.1084433       1.1599244      0.54558586       1.0052515
