Results for:	RMS Wave Error vs. Field


File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\JP2003-185916_Example01P.zmx
Title:	JP 2003-185916 Example 1 (Phase One Schneider Kreuznach 120mm LS f4 Macro)
Date:	11/7/2025 4:48:08 PM

0 message(s) in output.
RMS units are in waves.
Reference: Centroid.
Field units are in Millimeters.
1 series table(s) in output.

Table series: Field is oriented along the +y direction.
           Field            Poly          0.4861          0.5876          0.6563
  --------------  --------------  --------------  --------------  --------------
      0.00000000      0.23352146     0.088524540     0.025183697      0.39386038
       2.3233333      0.24193255      0.11247991     0.055852862      0.39503134
       4.6466667      0.26569791      0.16431097      0.10271312      0.39910860
       6.9700000      0.30157382      0.22505432      0.15119147      0.40770829
       9.2933333      0.34655628      0.28906524      0.20008603      0.42330130
       11.616667      0.39915442      0.35590331      0.24998389      0.44900729
       13.940000      0.46012110      0.42850551      0.30332756      0.48854594
       16.263333      0.53315303      0.51364874      0.36544596      0.54644564
       18.586667      0.62547651      0.62244139      0.44535485      0.62839028
       20.910000      0.74775969      0.76956793      0.55531016      0.74139309
       23.233333      0.91290490      0.97106187      0.70883209      0.89355093
       25.556667       1.1340797       1.2418439      0.91843136       1.0934184
       27.880000       1.4229845       1.5943471       1.1944223       1.3492468
       30.203333       1.7889419       2.0382051       1.5447659       1.6682788
       32.526667       2.2385616       2.5802053       1.9751078       2.0561133
       34.850000       2.7755012       3.2240123       2.4885399       2.5160595
