Results for:	Listing of Longitudinal Aberration Data


File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\JP2008-003108_Example01P.zmx
Title:	JP 2008-003108 Example 1 (Sigma 8mm F3.5 EX DG Circular Fisheye)
Date:	11/7/2025 3:44:41 PM

0 message(s) in output.
1 series table(s) in output.

Table series: Units are Millimeters.
      Rel. Pupil          0.4861          0.5876          0.6563
  --------------  --------------  --------------  --------------
      0.00000000    -0.015621508 -6.1971656E-005     0.050512322
     0.010000000    -0.015650392 -9.4157289E-005     0.050479292
     0.020000000    -0.015765900 -2.2286869E-004     0.050347201
     0.030000000    -0.015958297 -4.3727807E-004     0.050127157
     0.040000000    -0.016227411 -7.3722067E-004     0.049819323
     0.050000000    -0.016573001 -1.1224658E-003     0.049423927
     0.060000000    -0.016994756 -1.5927165E-003     0.048941262
     0.070000000    -0.017492296 -2.1476095E-003     0.048371686
     0.080000000    -0.018065170 -2.7867149E-003     0.047715624
     0.090000000    -0.018712857 -3.5095358E-003     0.046973566
      0.10000000    -0.019434768 -4.3155081E-003     0.046146069
      0.11000000    -0.020230240 -5.2039999E-003     0.045233756
      0.12000000    -0.021098541 -6.1743115E-003     0.044237318
      0.13000000    -0.022038865 -7.2256742E-003     0.043157515
      0.14000000    -0.023050336 -8.3572507E-003     0.041995171
      0.15000000    -0.024132004 -9.5681336E-003     0.040751184
      0.16000000    -0.025282844    -0.010857345     0.039426517
      0.17000000    -0.026501760    -0.012223838     0.038022206
      0.18000000    -0.027787577    -0.013666490     0.036539356
      0.19000000    -0.029139048    -0.015184110     0.034979144
      0.20000000    -0.030554845    -0.016775432     0.033342820
      0.21000000    -0.032033566    -0.018439115     0.031631707
      0.22000000    -0.033573728    -0.020173745     0.029847201
      0.23000000    -0.035173771    -0.021977829     0.027990774
      0.24000000    -0.036832050    -0.023849800     0.026063975
      0.25000000    -0.038546842    -0.025788010     0.024068430
      0.26000000    -0.040316340    -0.027790733     0.022005841
      0.27000000    -0.042138649    -0.029856163     0.019877992
      0.28000000    -0.044011794    -0.031982410     0.017686747
      0.29000000    -0.045933709    -0.034167504     0.015434054
      0.30000000    -0.047902239    -0.036409386     0.013121941
      0.31000000    -0.049915141    -0.038705914     0.010752524
      0.32000000    -0.051970079    -0.041054858  8.3280050E-003
      0.33000000    -0.054064623    -0.043453898  5.8506729E-003
      0.34000000    -0.056196249    -0.045900622  3.3229075E-003
      0.35000000    -0.058362335    -0.048392528  7.4718002E-004
      0.36000000    -0.060560159    -0.050927017 -1.8739452E-003
      0.37000000    -0.062786901    -0.053501395 -4.5378084E-003
      0.38000000    -0.065039635    -0.056112868 -7.2416528E-003
      0.39000000    -0.067315330    -0.058758543 -9.9826222E-003
      0.40000000    -0.069610848    -0.061435424    -0.012757759
      0.41000000    -0.071922942    -0.064140408    -0.015564003
      0.42000000    -0.074248251    -0.066870288    -0.018398186
      0.43000000    -0.076583300    -0.069621745    -0.021257033
      0.44000000    -0.078924496    -0.072391349    -0.024137158
      0.45000000    -0.081268126    -0.075175555    -0.027035063
      0.46000000    -0.083610354    -0.077970699    -0.029947131
      0.47000000    -0.085947216    -0.080772997    -0.032869628
      0.48000000    -0.088274624    -0.083578547    -0.035798701
      0.49000000    -0.090588348    -0.086383308    -0.038730362
      0.50000000    -0.092884029    -0.089183120    -0.041660506
      0.51000000    -0.095157173    -0.091973692    -0.044584896
      0.52000000    -0.097403133    -0.094750587    -0.047499155
      0.53000000    -0.099617125    -0.097509239    -0.050398774
      0.54000000     -0.10179420     -0.10024493    -0.053279093
      0.55000000     -0.10392928     -0.10295279    -0.056135316
      0.56000000     -0.10601710     -0.10562781    -0.058962492
      0.57000000     -0.10805224     -0.10826482    -0.061755520
      0.58000000     -0.11002913     -0.11085850    -0.064509139
      0.59000000     -0.11194201     -0.11340334    -0.067217928
      0.60000000     -0.11378495     -0.11589368    -0.069876295
      0.61000000     -0.11555182     -0.11832370    -0.072478482
      0.62000000     -0.11723634     -0.12068736    -0.075018550
      0.63000000     -0.11883200     -0.12297848    -0.077490382
      0.64000000     -0.12033211     -0.12519066    -0.079887672
      0.65000000     -0.12172977     -0.12731733    -0.082203922
      0.66000000     -0.12301788     -0.12935168    -0.084432435
      0.67000000     -0.12418909     -0.13128675    -0.086566310
      0.68000000     -0.12523588     -0.13311531    -0.088598441
      0.69000000     -0.12615045     -0.13482994    -0.090521498
      0.70000000     -0.12692478     -0.13642301    -0.092327929
      0.71000000     -0.12755062     -0.13788660    -0.094009953
      0.72000000     -0.12801944     -0.13921261    -0.095559548
      0.73000000     -0.12832247     -0.14039266    -0.096968453
      0.74000000     -0.12845066     -0.14141812    -0.098228148
      0.75000000     -0.12839468     -0.14228008    -0.099329854
      0.76000000     -0.12814491     -0.14296938     -0.10026452
      0.77000000     -0.12769145     -0.14347657     -0.10102282
      0.78000000     -0.12702408     -0.14379189     -0.10159513
      0.79000000     -0.12613226     -0.14390531     -0.10197154
      0.80000000     -0.12500513     -0.14380646     -0.10214183
      0.81000000     -0.12363147     -0.14348466     -0.10209545
      0.82000000     -0.12199975     -0.14292888     -0.10182154
      0.83000000     -0.12009803     -0.14212777     -0.10130887
      0.84000000     -0.11791403     -0.14106961     -0.10054589
      0.85000000     -0.11543506     -0.13974230    -0.099520671
      0.86000000     -0.11264802     -0.13813337    -0.098220894
      0.87000000     -0.10953942     -0.13622995    -0.096633861
      0.88000000     -0.10609531     -0.13401875    -0.094746467
      0.89000000     -0.10230130     -0.13148605    -0.092545183
      0.90000000    -0.098142535     -0.12861771    -0.090016044
      0.91000000    -0.093603672     -0.12539910    -0.087144633
      0.92000000    -0.088668869     -0.12181514    -0.083916062
      0.93000000    -0.083321758     -0.11785024    -0.080314954
      0.94000000    -0.077545445     -0.11348831    -0.076325434
      0.95000000    -0.071322455     -0.10871270    -0.071931091
      0.96000000    -0.064634735     -0.10350624    -0.067114971
      0.97000000    -0.057463616    -0.097851137    -0.061859547
      0.98000000    -0.049789821    -0.091729054    -0.056146716
      0.99000000    -0.041593399    -0.085121001    -0.049957754
       1.0000000    -0.032853700    -0.078007327    -0.043273283
