Results for:	RMS Wave Error vs. Field


File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\JP2011-248340_Example01P.zmx
Title:	JP 2011-248340 Example 1 (Nikon 1 Nikkor 10mm f/2.8)
Date:	11/7/2025 4:48:16 PM

0 message(s) in output.
RMS units are in waves.
Reference: Centroid.
Field units are in Millimeters.
1 series table(s) in output.

Table series: Field is oriented along the +y direction.
           Field            Poly          0.4861          0.5876          0.6563
  --------------  --------------  --------------  --------------  --------------
      0.00000000     0.080210185     0.075748530     0.022532463      0.11426053
      0.54666667      0.11338939     0.072169604     0.032015572      0.12079569
       1.0933333      0.18978360     0.090238768     0.073556258      0.14674554
       1.6400000      0.29720860      0.17196899      0.15213545      0.20408682
       2.1866667      0.43949410      0.31553955      0.27090683      0.30084738
       2.7333333      0.62373569      0.52034135      0.43595686      0.44205424
       3.2800000      0.85753222      0.79218047      0.65425590      0.63264138
       3.8266667       1.1475165       1.1371524      0.93172659      0.87700955
       4.3733333       1.4973053       1.5578817       1.2710291       1.1770496
       4.9200000       1.9048190       2.0502241       1.6690684       1.5297775
       5.4666667       2.3593834       2.6001325       2.1144704       1.9249845
       6.0133333       2.8392925       3.1811600       2.5855370       2.3433551
       6.5600000       3.3109096       3.7537205       3.0496383       2.7558901
       7.1066667       3.7312591       4.2683406       3.4658807       3.1262525
       7.6533333       4.0582656       4.6776189       3.7949003       3.4194084
       8.2000000       4.2784888       4.9675666       4.0245026       3.6241563
