Results for:	Listing of Longitudinal Aberration Data


File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\JP2012-234169_Example01P.zmx
Title:	JP 2012-234169 Example 1 (Sigma 30mm F2.8 DN A)
Date:	11/7/2025 3:44:46 PM

0 message(s) in output.
1 series table(s) in output.

Table series: Units are Millimeters.
      Rel. Pupil          0.4861          0.5876          0.6563
  --------------  --------------  --------------  --------------
      0.00000000    -0.027759160  2.2880856E-004     0.031525209
     0.010000000    -0.027773888  2.1419437E-004     0.031510808
     0.020000000    -0.027832787  1.5574850E-004     0.031453212
     0.030000000    -0.027930913  5.8377441E-005     0.031357257
     0.040000000    -0.028068208 -7.7860683E-005     0.031223002
     0.050000000    -0.028244590 -2.5288448E-004     0.031050529
     0.060000000    -0.028459955 -4.6658922E-004     0.030839942
     0.070000000    -0.028714173 -7.1884680E-004     0.030591370
     0.080000000    -0.029007093 -1.0095057E-003     0.030304965
     0.090000000    -0.029338539 -1.3383909E-003     0.029980902
      0.10000000    -0.029708312 -1.7053038E-003     0.029619381
      0.11000000    -0.030116189 -2.1100220E-003     0.029220624
      0.12000000    -0.030561923 -2.5522996E-003     0.028784879
      0.13000000    -0.031045243 -3.0318664E-003     0.028312415
      0.14000000    -0.031565854 -3.5484284E-003     0.027803529
      0.15000000    -0.032123437 -4.1016676E-003     0.027258539
      0.16000000    -0.032717649 -4.6912413E-003     0.026677788
      0.17000000    -0.033348120 -5.3167826E-003     0.026061645
      0.18000000    -0.034014459 -5.9778997E-003     0.025410502
      0.19000000    -0.034716247 -6.6741763E-003     0.024724778
      0.20000000    -0.035453041 -7.4051706E-003     0.024004914
      0.21000000    -0.036224373 -8.1704160E-003     0.023251379
      0.22000000    -0.037029748 -8.9694200E-003     0.022464667
      0.23000000    -0.037868648 -9.8016646E-003     0.021645298
      0.24000000    -0.038740525    -0.010666606     0.020793815
      0.25000000    -0.039644808    -0.011563674     0.019910793
      0.26000000    -0.040580898    -0.012492271     0.018996828
      0.27000000    -0.041548169    -0.013451774     0.018052547
      0.28000000    -0.042545968    -0.014441533     0.017078601
      0.29000000    -0.043573614    -0.015460868     0.016075670
      0.30000000    -0.044630399    -0.016509075     0.015044464
      0.31000000    -0.045715585    -0.017585420     0.013985716
      0.32000000    -0.046828408    -0.018689139     0.012900193
      0.33000000    -0.047968073    -0.019819441     0.011788687
      0.34000000    -0.049133756    -0.020975506     0.010652021
      0.35000000    -0.050324603    -0.022156484  9.4910476E-003
      0.36000000    -0.051539730    -0.023361493  8.3066496E-003
      0.37000000    -0.052778223    -0.024589624  7.0997402E-003
      0.38000000    -0.054039136    -0.025839934  5.8712638E-003
      0.39000000    -0.055321491    -0.027111449  4.6221961E-003
      0.40000000    -0.056624277    -0.028403165  3.3535453E-003
      0.41000000    -0.057946454    -0.029714042  2.0663517E-003
      0.42000000    -0.059286944    -0.031043012  7.6168895E-004
      0.43000000    -0.060644639    -0.032388967 -5.5933566E-004
      0.44000000    -0.062018394    -0.033750771 -1.8955806E-003
      0.45000000    -0.063407031    -0.035127249 -3.2458697E-003
      0.46000000    -0.064809333    -0.036517193 -4.6089911E-003
      0.47000000    -0.066224052    -0.037919357 -5.9836969E-003
      0.48000000    -0.067649898    -0.039332459 -7.3687026E-003
      0.49000000    -0.069085546    -0.040755182 -8.7626861E-003
      0.50000000    -0.070529632    -0.042186167    -0.010164287
      0.51000000    -0.071980752    -0.043624018    -0.011572107
      0.52000000    -0.073437464    -0.045067301    -0.012984707
      0.53000000    -0.074898284    -0.046514539    -0.014400607
      0.54000000    -0.076361686    -0.047964214    -0.015818289
      0.55000000    -0.077826103    -0.049414769    -0.017236188
      0.56000000    -0.079289923    -0.050864600    -0.018652700
      0.57000000    -0.080751492    -0.052312062    -0.020066176
      0.58000000    -0.082209108    -0.053755465    -0.021474922
      0.59000000    -0.083661026    -0.055193072    -0.022877198
      0.60000000    -0.085105452    -0.056623100    -0.024271219
      0.61000000    -0.086540543    -0.058043719    -0.025655149
      0.62000000    -0.087964409    -0.059453050    -0.027027107
      0.63000000    -0.089375109    -0.060849163    -0.028385160
      0.64000000    -0.090770650    -0.062230078    -0.029727323
      0.65000000    -0.092148985    -0.063593763    -0.031051563
      0.66000000    -0.093508015    -0.064938133    -0.032355789
      0.67000000    -0.094845587    -0.066261047    -0.033637858
      0.68000000    -0.096159487    -0.067560309    -0.034895570
      0.69000000    -0.097447448    -0.068833667    -0.036126669
      0.70000000    -0.098707141    -0.070078809    -0.037328840
      0.71000000    -0.099936177    -0.071293362    -0.038499708
      0.72000000     -0.10113210    -0.072474895    -0.039636835
      0.73000000     -0.10229241    -0.073620910    -0.040737724
      0.74000000     -0.10341451    -0.074728848    -0.041799809
      0.75000000     -0.10449576    -0.075796081    -0.042820461
      0.76000000     -0.10553344    -0.076819916    -0.043796982
      0.77000000     -0.10652477    -0.077797589    -0.044726605
      0.78000000     -0.10746689    -0.078726264    -0.045606492
      0.79000000     -0.10835686    -0.079603034    -0.046433732
      0.80000000     -0.10919168    -0.080424915    -0.047205338
      0.81000000     -0.10996825    -0.081188847    -0.047918247
      0.82000000     -0.11068342    -0.081891691    -0.048569318
      0.83000000     -0.11133393    -0.082530228    -0.049155327
      0.84000000     -0.11191645    -0.083101153    -0.049672968
      0.85000000     -0.11242756    -0.083601079    -0.050118851
      0.86000000     -0.11286375    -0.084026529    -0.050489497
      0.87000000     -0.11322142    -0.084373936    -0.050781337
      0.88000000     -0.11349686    -0.084639642    -0.050990709
      0.89000000     -0.11368630    -0.084819893    -0.051113858
      0.90000000     -0.11378583    -0.084910836    -0.051146930
      0.91000000     -0.11379147    -0.084908520    -0.051085972
      0.92000000     -0.11369911    -0.084808891    -0.050926927
      0.93000000     -0.11350456    -0.084607785    -0.050665633
      0.94000000     -0.11320348    -0.084300934    -0.050297818
      0.95000000     -0.11279146    -0.083883955    -0.049819100
      0.96000000     -0.11226393    -0.083352351    -0.049224980
      0.97000000     -0.11161624    -0.082701504    -0.048510843
      0.98000000     -0.11084358    -0.081926679    -0.047671951
      0.99000000     -0.10994103    -0.081023011    -0.046703440
       1.0000000     -0.10890354    -0.079985507    -0.045600321
