Results for:	RMS Wave Error vs. Field


File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\JP2013-104994_Example02P.zmx
Title:	JP 2013-104994 Example 2 (Sigma APO Macro 180mm F2.8 EX DG OS HSM)
Date:	11/7/2025 4:48:22 PM

0 message(s) in output.
RMS units are in waves.
Reference: Centroid.
Field units are in Millimeters.
1 series table(s) in output.

Table series: Field is oriented along the +y direction.
           Field            Poly          0.4861          0.5876          0.6563
  --------------  --------------  --------------  --------------  --------------
      0.00000000      0.52642631      0.60336346     0.079613104      0.67896116
       1.4420000      0.52973346      0.60099652     0.080708080      0.67851884
       2.8840000      0.54016063      0.59461392     0.086173310      0.67773248
       4.3260000      0.55914008      0.58643571      0.10120731      0.67824272
       5.7680000      0.58880420      0.58035845      0.13030629      0.68283016
       7.2100000      0.63171136      0.58214508      0.17519023      0.69542380
       8.6520000      0.69067588      0.59940365      0.23652416      0.72099748
       10.094000      0.76884546      0.64107068      0.31586564      0.76529364
       11.536000      0.87006478      0.71646079      0.41645162      0.83442729
       12.978000      0.99942277      0.83461546      0.54345510      0.93457254
       14.420000       1.1637915       1.0046571      0.70403816       1.0719370
       15.862000       1.3721569       1.2368424      0.90722508       1.2530146
       17.304000       1.6355999       1.5434237       1.1635839       1.4848803
       18.746000       1.9668804       1.9388331       1.4847322       1.7752643
       20.188000       2.3796661       2.4392286       1.8826878       2.1322666
       21.630000       2.8874923       3.0615841       2.3690834       2.5637164
