Results for:	RMS Wave Error vs. Field


File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\JP2014-145954_Example01P.zmx
Title:	JP 2014-145954 Example 1 (Sigma 60mm F2.8 DN A)
Date:	11/7/2025 4:48:31 PM

0 message(s) in output.
RMS units are in waves.
Reference: Centroid.
Field units are in Millimeters.
1 series table(s) in output.

Table series: Field is oriented along the +y direction.
           Field            Poly          0.4861          0.5876          0.6563
  --------------  --------------  --------------  --------------  --------------
      0.00000000      0.19229389      0.26224049      0.16481219      0.12246504
      0.94666667      0.19343502      0.26131419      0.16479438      0.12481968
       1.8933333      0.19716360      0.25917015      0.16544994      0.13216043
       2.8400000      0.20416539      0.25751074      0.16860044      0.14495481
       3.7866667      0.21492991      0.25846891      0.17624937      0.16312908
       4.7333333      0.22914000      0.26358802      0.18929901      0.18561739
       5.6800000      0.24536046      0.27280799      0.20671300      0.21039646
       6.6266667      0.26110131      0.28405247      0.22562430      0.23471290
       7.5733333      0.27307267      0.29362396      0.24192979      0.25519991
       8.5200000      0.27749570      0.29716263      0.25073049      0.26777138
       9.4666667      0.27077703      0.29142915      0.24659710      0.26730371
       10.413333      0.25236284      0.27957411      0.22481894      0.24735130
       11.360000      0.23741716      0.28797355      0.19038394      0.20188685
       12.306667      0.28915558      0.38752930      0.20360872      0.14865468
       13.253333      0.49609996      0.65570223      0.38364549      0.23742427
       14.200000      0.91676363       1.1614573      0.77641727      0.56217681
