Results for:	Relative Illumination Data


File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\JP2017-167327_Example01P.zmx
Title:	JP 2017-167327 Example 1 (Panasonic Leica DG Summilux 12mm F1.4 Asph)
Date:	11/7/2025 4:09:01 PM

0 message(s) in output.
Wavelength: 0.587562 µm
Field values are in Millimeters
Relative Illumination values are dimensionless.
1 series table(s) in output.

Table series: See program documentation for a discussion of Effective F/#.
         Y Field        Rel. Ill   Effective F/#
  --------------  --------------  --------------
      0.00000000      0.99881774       1.5156076
      0.54100000      0.99815732       1.5161089
       1.0820000      0.99626935       1.5175447
       1.6230000       1.0000000       1.5147114
       2.1640000      0.99460021       1.5188176
       2.7050000      0.97780507       1.5318059
       3.2460000      0.97023294       1.5377718
       3.7870000      0.94630537       1.5570919
       4.3280000      0.91670530       1.5820311
       4.8690000      0.88293108       1.6120054
       5.4100000      0.84726722       1.6455826
       5.9510000      0.79634458       1.6973811
       6.4920000      0.75962778       1.7379187
       7.0330000      0.69810515       1.8128817
       7.5740000      0.63633237       1.8988378
       8.1150000      0.60123259       1.9534785
       8.6560000      0.55228722       2.0382028
       9.1970000      0.45456082       2.2466421
       9.7380000      0.42324567       2.3282715
       10.279000      0.38995930       2.4256059
       10.820000      0.34184379       2.5906935
