Results for:	Relative Illumination Data


File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\JP2019-023693_Example01P.zmx
Title:	JP 2019-023693 Example 1 (Olympus M.Zuiko ED 45mm F1.2 Pro)
Date:	11/7/2025 4:14:24 PM

0 message(s) in output.
Wavelength: 0.587562 µm
Field values are in Millimeters
Relative Illumination values are dimensionless.
1 series table(s) in output.

Table series: See program documentation for a discussion of Effective F/#.
         Y Field        Rel. Ill   Effective F/#
  --------------  --------------  --------------
      0.00000000      1.00000000       1.3503519
      0.54100000      0.99985906       1.3504470
       1.0820000      0.99365378       1.3546572
       1.6230000      0.99297010       1.3551235
       2.1640000      0.98661574       1.3594803
       2.7050000      0.98517549       1.3604737
       3.2460000      0.97044380       1.3707610
       3.7870000      0.94510626       1.3890140
       4.3280000      0.91845250       1.4090247
       4.8690000      0.90140524       1.4222859
       5.4100000      0.89055740       1.4309221
       5.9510000      0.86676874       1.4504252
       6.4920000      0.82893896       1.4831520
       7.0330000      0.79190909       1.5174322
       7.5740000      0.76999877       1.5388700
       8.1150000      0.71674039       1.5950195
       8.6560000      0.68755043       1.6285259
       9.1970000      0.65112691       1.6734553
       9.7380000      0.59834913       1.7457000
       10.279000      0.56291051       1.7998125
       10.820000      0.51070576       1.8895638
