Results for:	RMS Wave Error vs. Field


File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\JP2020-030383_Example01P.zmx
Title:	JP 2020-030383 Example 1 (Sigma 56mm F1.4 DC DN C)
Date:	11/7/2025 4:53:54 PM

0 message(s) in output.
RMS units are in waves.
Reference: Centroid.
Field units are in Millimeters.
1 series table(s) in output.

Table series: Field is oriented along the +y direction.
           Field            Poly          0.4861          0.5876          0.6563
  --------------  --------------  --------------  --------------  --------------
      0.00000000      0.66166184      0.78641826      0.11871851      0.82513115
      0.94666667      0.66338989      0.79030307      0.12870420      0.82166298
       1.8933333      0.67350422      0.80713020      0.17171500      0.81369854
       2.8400000      0.70376671      0.84889077      0.25814090      0.80726564
       3.7866667      0.76421597      0.92510181      0.37747038      0.80797224
       4.7333333      0.85446606       1.0343193      0.51198136      0.81506846
       5.6800000      0.96397207       1.1654906      0.64345141      0.81692457
       6.6266667       1.0835008       1.3112713      0.75856900      0.79222974
       7.5733333       1.2243750       1.4902216      0.86198715      0.72009278
       8.5200000       1.4358933       1.7649879      0.99447834      0.60700351
       9.4666667       1.7857906       2.2135839       1.2195803      0.54583293
       10.413333       2.2792612       2.8316111       1.5358294      0.66846401
       11.360000       2.7868835       3.4439565       1.7920188      0.85403556
       12.306667       3.0708029       3.6960626       1.7094275      0.94069511
       13.253333       3.0750944       3.1973495       1.3447714       1.5998523
       14.200000       3.9554790       2.4324357       3.0048540       3.9971938
