Results for:	RMS Wave Error vs. Field


File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\JP2020-173366_Example03P.zmx
Title:	JP 2020-173366 Example 3 (Nikon Nikkor Z 85mm f/1.8 S)
Date:	11/7/2025 4:53:55 PM

0 message(s) in output.
RMS units are in waves.
Reference: Centroid.
Field units are in Millimeters.
1 series table(s) in output.

Table series: Field is oriented along the +y direction.
           Field            Poly          0.4861          0.5876          0.6563
  --------------  --------------  --------------  --------------  --------------
      0.00000000      0.98959708       1.1245850       1.2023468      0.47705125
       1.4420000       1.0141147       1.1534839       1.2254273      0.50043579
       2.8840000       1.0870127       1.2394887       1.2940887      0.56883530
       4.3260000       1.2066419       1.3809094       1.4067800      0.67852024
       5.7680000       1.3710306       1.5758781       1.5614203      0.82603690
       7.2100000       1.5784951       1.8230870       1.7558740       1.0089242
       8.6520000       1.8281003       2.1223443       1.9883848       1.2255691
       10.094000       2.1201392       2.4751632       2.2580471       1.4751682
       11.536000       2.4568228       2.8856042       2.5654535       1.7580814
       12.978000       2.8433153       3.3615278       2.9136508       2.0765936
       14.420000       3.2892254       3.9163713       3.3095460       2.4361113
       15.862000       3.8106666       4.5715756       3.7659105       2.8468836
       17.304000       4.4330167       5.3598076       4.3041559       3.3263827
       18.746000       5.1945324       6.3291935       4.9580507       3.9025014
       20.188000       6.1510723       7.5489393       5.7785705       4.6177506
       21.630000       7.3824797       9.1171375       6.8402349       5.5347785
