Results for:	Relative Illumination Data


File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\JP2020-190696_Example03MLP.zmx
Title:	JP 2020-190696 Example 3 ML (Canon EF24mm f2.8 IS USM)
Date:	11/7/2025 4:14:38 PM

0 message(s) in output.
Wavelength: 0.587562 µm
Field values are in Millimeters
Relative Illumination values are dimensionless.
1 series table(s) in output.

Table series: See program documentation for a discussion of Effective F/#.
         Y Field        Rel. Ill   Effective F/#
  --------------  --------------  --------------
      0.00000000      0.99503843       3.0789736
       1.0820000       1.0000000       3.0713258
       2.1640000      0.99325277       3.0817400
       3.2460000      0.98007499       3.1023889
       4.3280000      0.96201277       3.1313778
       5.4100000      0.91487219       3.2110397
       6.4920000      0.85518592       3.3212045
       7.5740000      0.80323732       3.4269199
       8.6560000      0.76812962       3.5043593
       9.7380000      0.71808771       3.6244085
       10.820000      0.67844897       3.7287846
       11.902000      0.58996144       3.9986563
       12.984000      0.54853545       4.1468997
       14.066000      0.50385810       4.3268492
       15.148000      0.47141047       4.4732820
       16.230000      0.42712033       4.6994904
       17.312000      0.36613584       5.0758031
       18.394000      0.31812142       5.4453956
       19.476000      0.28757406       5.7273146
       20.558000      0.26202101       6.0000909
       21.640000      0.22679086       6.4493079
