Results for:	Listing of Longitudinal Aberration Data


File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\JP2021-189351_Example04P.zmx
Title:	JP 2021-189351 Example 4 (Nikon Nikkor Z 40mm f/2)
Date:	11/7/2025 3:49:08 PM

0 message(s) in output.
1 series table(s) in output.

Table series: Units are Millimeters.
      Rel. Pupil          0.4861          0.5876          0.6563
  --------------  --------------  --------------  --------------
      0.00000000    -0.034587185  1.6372778E-004     0.040524964
     0.010000000    -0.034613907  1.3586571E-004     0.040496995
     0.020000000    -0.034720756  2.4456583E-005     0.040385161
     0.030000000    -0.034898705 -1.6108666E-004     0.040198911
     0.040000000    -0.035147550 -4.2055580E-004     0.039938458
     0.050000000    -0.035467010 -7.5365907E-004     0.039604098
     0.060000000    -0.035856719 -1.1600209E-003     0.039196214
     0.070000000    -0.036316233 -1.6391815E-003     0.038715273
     0.080000000    -0.036845024 -2.1905965E-003     0.038161828
     0.090000000    -0.037442481 -2.8136363E-003     0.037536521
      0.10000000    -0.038107912 -3.5075857E-003     0.036840078
      0.11000000    -0.038840538 -4.2716429E-003     0.036073316
      0.12000000    -0.039639499 -5.1049194E-003     0.035237138
      0.13000000    -0.040503849 -6.0064383E-003     0.034332538
      0.14000000    -0.041432554 -6.9751344E-003     0.033360600
      0.15000000    -0.042424496 -8.0098524E-003     0.032322499
      0.16000000    -0.043478467 -9.1093467E-003     0.031219503
      0.17000000    -0.044593170    -0.010272280     0.030052971
      0.18000000    -0.045767222    -0.011497221     0.028824360
      0.19000000    -0.046999143    -0.012782648     0.027535220
      0.20000000    -0.048287367    -0.014126939     0.026187198
      0.21000000    -0.049630231    -0.015528381     0.024782041
      0.22000000    -0.051025979    -0.016985159     0.023321593
      0.23000000    -0.052472760    -0.018495362     0.021807800
      0.24000000    -0.053968626    -0.020056980     0.020242710
      0.25000000    -0.055511529    -0.021667897     0.018628472
      0.26000000    -0.057099327    -0.023325900     0.016967343
      0.27000000    -0.058729772    -0.025028669     0.015261684
      0.28000000    -0.060400519    -0.026773779     0.013513962
      0.29000000    -0.062109119    -0.028558699     0.011726756
      0.30000000    -0.063853019    -0.030380792  9.9027502E-003
      0.31000000    -0.065629562    -0.032237311  8.0447435E-003
      0.32000000    -0.067435986    -0.034125398  6.1556451E-003
      0.33000000    -0.069269422    -0.036042088  4.2384773E-003
      0.34000000    -0.071126895    -0.037984302  2.2963768E-003
      0.35000000    -0.073005321    -0.039948849  3.3259498E-004
      0.36000000    -0.074901509    -0.041932426 -1.6495012E-003
      0.37000000    -0.076812160    -0.043931615 -3.6464286E-003
      0.38000000    -0.078733864    -0.045942885 -5.6545872E-003
      0.39000000    -0.080663105    -0.047962593 -7.6702605E-003
      0.40000000    -0.082596258    -0.049986979 -9.6896149E-003
      0.41000000    -0.084529590    -0.052012173    -0.011708700
      0.42000000    -0.086459262    -0.054034188    -0.013723450
      0.43000000    -0.088381327    -0.056048929    -0.015729682
      0.44000000    -0.090291738    -0.058052187    -0.017723100
      0.45000000    -0.092186340    -0.060039647    -0.019699294
      0.46000000    -0.094060881    -0.062006883    -0.021653745
      0.47000000    -0.095911014    -0.063949368    -0.023581824
      0.48000000    -0.097732289    -0.065862468    -0.025478792
      0.49000000    -0.099520174    -0.067741454    -0.027339812
      0.50000000     -0.10127005    -0.069581502    -0.029159947
      0.51000000     -0.10297721    -0.071377699    -0.030934164
      0.52000000     -0.10463687    -0.073125044    -0.032657340
      0.53000000     -0.10624420    -0.074818459    -0.034324269
      0.54000000     -0.10779428    -0.076452797    -0.035929671
      0.55000000     -0.10928214    -0.078022840    -0.037468188
      0.56000000     -0.11070278    -0.079523321    -0.038934409
      0.57000000     -0.11205116    -0.080948925    -0.040322867
      0.58000000     -0.11332222    -0.082294302    -0.041628056
      0.59000000     -0.11451088    -0.083554081    -0.042844441
      0.60000000     -0.11561207    -0.084722881    -0.043966470
      0.61000000     -0.11662074    -0.085795329    -0.044988593
      0.62000000     -0.11753189    -0.086766074    -0.045905274
      0.63000000     -0.11834055    -0.087629807    -0.046711009
      0.64000000     -0.11904187    -0.088381280    -0.047400350
      0.65000000     -0.11963105    -0.089015332    -0.047967926
      0.66000000     -0.12010346    -0.089526910    -0.048408465
      0.67000000     -0.12045461    -0.089911097    -0.048716821
      0.68000000     -0.12068019    -0.090163145    -0.048888008
      0.69000000     -0.12077613    -0.090278504    -0.048917228
      0.70000000     -0.12073859    -0.090252861    -0.048799908
      0.71000000     -0.12056406    -0.090082180    -0.048531739
      0.72000000     -0.12024936    -0.089762742    -0.048108723
      0.73000000     -0.11979170    -0.089291198    -0.047527212
      0.74000000     -0.11918874    -0.088664617    -0.046783967
      0.75000000     -0.11843866    -0.087880546    -0.045876213
      0.76000000     -0.11754019    -0.086937071    -0.044801698
      0.77000000     -0.11649272    -0.085832889    -0.043558767
      0.78000000     -0.11529635    -0.084567379    -0.042146430
      0.79000000     -0.11395199    -0.083140688    -0.040564447
      0.80000000     -0.11246144    -0.081553821    -0.038813420
      0.81000000     -0.11082750    -0.079808738    -0.036894886
      0.82000000     -0.10905409    -0.077908466    -0.034811430
      0.83000000     -0.10714634    -0.075857216    -0.032566796
      0.84000000     -0.10511078    -0.073660512    -0.030166025
      0.85000000     -0.10295542    -0.071325338    -0.027615589
      0.86000000     -0.10068996    -0.068860293    -0.024923553
      0.87000000    -0.098325944    -0.066275762    -0.022099741
      0.88000000    -0.095876961    -0.063584109    -0.019155928
      0.89000000    -0.093358853    -0.060799881    -0.016106042
      0.90000000    -0.090789957    -0.057940043    -0.012966396
      0.91000000    -0.088191352    -0.055024221 -9.7559370E-003
      0.92000000    -0.085587153    -0.052074991 -6.4965174E-003
      0.93000000    -0.083004815    -0.049118174 -3.2132037E-003
      0.94000000    -0.080475485    -0.046183181  6.5391031E-005
      0.95000000    -0.078034375    -0.043303382  3.3067364E-003
      0.96000000    -0.075721191    -0.040516519  6.4739760E-003
      0.97000000    -0.073580591    -0.037865162  9.5254747E-003
      0.98000000    -0.071662706    -0.035397217     0.012414315
      0.99000000    -0.070023704    -0.033166471     0.015087753
       1.0000000    -0.068726435    -0.031233236     0.017486580
