Results for:	RMS Wave Error vs. Field


File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\JP2021-189377_Example01P.zmx
Title:	JP 2021-189377 Example 1 (Nikon Nikkor Z 24-50mm f/4-6.3)
Date:	11/7/2025 4:54:11 PM

0 message(s) in output.
RMS units are in waves.
Reference: Centroid.
Field units are in Millimeters.
1 series table(s) in output.

Table series: Field is oriented along the +y direction.
           Field            Poly          0.4861          0.5876          0.6563
  --------------  --------------  --------------  --------------  --------------
      0.00000000      0.19985241      0.16475268      0.27759739      0.12497678
       1.4466667      0.30088545      0.27659389      0.35756504      0.20444769
       2.8933333      0.55326749      0.55725614      0.58258982      0.41032886
       4.3400000      0.93089209      0.98581808      0.93732995      0.72859811
       5.7866667       1.4254755       1.5530700       1.4094364       1.1512920
       7.2333333       2.0197691       2.2378203       1.9798643       1.6619203
       8.6800000       2.6856812       3.0068412       2.6204979       2.2352334
       10.126667       3.3845550       3.8151279       3.2936447       2.8372637
       11.573333       4.0679791       4.6066360       3.9525053       3.4258489
       13.020000       4.6797881       5.3164397       4.5429861       3.9522931
       14.466667       5.1595338       5.8745928       5.0069965       4.3643604
       15.913333       5.4472533       6.2114575       5.2870087       4.6104141
       17.360000       5.4893560       6.2642741       5.3316743       4.6445301
       18.806667       5.2467489       5.9862440       5.1035199       4.4335648
       20.253333       4.7115111       5.3653813       4.5945758       3.9717735
       21.700000       3.9578314       4.4832321       3.8735604       3.3259471
