Results for:	RMS Wave Error vs. Field


File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\Note01Fig1.zmx
Title:	
Date:	11/7/2025 4:54:24 PM

0 message(s) in output.
RMS units are in waves.
Reference: Centroid.
Field units are in Millimeters.
1 series table(s) in output.

Table series: Field is oriented along the +y direction.
           Field            Poly          0.4861          0.5876          0.6563
  --------------  --------------  --------------  --------------  --------------
      0.00000000      0.62344541      0.70052523      0.60892536      0.55183951
       1.4000000      0.64683219      0.70557800      0.61369019      0.55564634
       2.8000000      0.71166480      0.72141437      0.62853890      0.56760729
       4.2000000      0.80621265      0.74992627      0.65500657      0.58923072
       5.6000000      0.91909207      0.79381476      0.69525395      0.62266913
       7.0000000       1.0422039      0.85601475      0.75158171      0.67025376
       8.4000000       1.1707383      0.93913067      0.82597660      0.73403116
       9.8000000       1.3024408       1.0450829      0.91984616      0.81546607
       11.200000       1.4369766       1.1750545       1.0339956      0.91538932
       12.600000       1.5754917       1.3296746       1.1687833       1.0341419
       14.000000       1.7202968       1.5093001       1.3243471       1.1718031
       15.400000       1.8746062       1.7142874       1.5008199       1.3284128
       16.800000       2.0422936       1.9452087       1.6985051       1.5041490
       18.200000       2.2276632       2.2030153       1.9180151       1.6994637
       19.600000       2.4352625       2.4891816       2.1603974       1.9152005
       21.000000       2.6697952       2.8058835       2.4272919       2.1527350
