Results for:	Listing of Longitudinal Aberration Data


File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\Samy&Gao-1(220deg).zmx
Title:	Samy & Gao
Date:	11/7/2025 3:50:01 PM

0 message(s) in output.
1 series table(s) in output.

Table series: Units are Millimeters.
      Rel. Pupil          0.4861          0.5876          0.6563
  --------------  --------------  --------------  --------------
      0.00000000  8.0020089E-003  2.2151454E-003  5.2648035E-003
     0.010000000  7.9974122E-003  2.2107966E-003  5.2605685E-003
     0.020000000  7.9790273E-003  2.1934035E-003  5.2436306E-003
     0.030000000  7.9483932E-003  2.1644223E-003  5.2154081E-003
     0.040000000  7.9055206E-003  2.1238640E-003  5.1759121E-003
     0.050000000  7.8504248E-003  2.0717439E-003  5.1251579E-003
     0.060000000  7.7831252E-003  2.0080818E-003  5.0631655E-003
     0.070000000  7.7036459E-003  1.9329018E-003  4.9899592E-003
     0.080000000  7.6120151E-003  1.8462327E-003  4.9055678E-003
     0.090000000  7.5082656E-003  1.7481073E-003  4.8100245E-003
      0.10000000  7.3924345E-003  1.6385632E-003  4.7033670E-003
      0.11000000  7.2645633E-003  1.5176424E-003  4.5856376E-003
      0.12000000  7.1246981E-003  1.3853914E-003  4.4568831E-003
      0.13000000  6.9728895E-003  1.2418613E-003  4.3171547E-003
      0.14000000  6.8091923E-003  1.0871076E-003  4.1665086E-003
      0.15000000  6.6336663E-003  9.2119045E-004  4.0050051E-003
      0.16000000  6.4463757E-003  7.4417479E-004  3.8327095E-003
      0.17000000  6.2473891E-003  5.5613008E-004  3.6496918E-003
      0.18000000  6.0367800E-003  3.5713049E-004  3.4560266E-003
      0.19000000  5.8146267E-003  1.4725500E-004  3.2517933E-003
      0.20000000  5.5810120E-003 -7.3412651E-005  3.0370762E-003
      0.21000000  5.3360236E-003 -3.0478388E-004  2.8119644E-003
      0.22000000  5.0797540E-003 -5.4676518E-004  2.5765519E-003
      0.23000000  4.8123007E-003 -7.9925813E-004  2.3309379E-003
      0.24000000  4.5337661E-003 -1.0621593E-003  2.0752263E-003
      0.25000000  4.2442577E-003 -1.3353601E-003  1.8095264E-003
      0.26000000  3.9438878E-003 -1.6187469E-003  1.5339525E-003
      0.27000000  3.6327741E-003 -1.9122010E-003  1.2486242E-003
      0.28000000  3.3110396E-003 -2.2155980E-003  9.5366629E-004
      0.29000000  2.9788123E-003 -2.5288087E-003  6.4920912E-004
      0.30000000  2.6362257E-003 -2.8516982E-003  3.3538835E-004
      0.31000000  2.2834188E-003 -3.1841259E-003  1.2345211E-005
