Results for:	RMS Wave Error vs. Field


File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\US002721499_Example02_Tale01.zmx
Title:	Zeiss Biogon 2.1cm f/4.5 (US 2,721,499 Example 2 scaled)
Date:	11/7/2025 4:55:25 PM

0 message(s) in output.
RMS units are in waves.
Reference: Centroid.
Field units are in Millimeters.
1 series table(s) in output.

Table series: Field is oriented along the +y direction.
           Field            Poly          0.4861          0.5876          0.6563
  --------------  --------------  --------------  --------------  --------------
      0.00000000      0.34204062      0.34531475      0.37856814      0.29735374
       1.4400000      0.35562433      0.34825644      0.37932451      0.29753077
       2.8800000      0.39187844      0.35691579      0.38136525      0.29784894
       4.3200000      0.44104770      0.37059864      0.38401858      0.29771426
       5.7600000      0.49379588      0.38784074      0.38632498      0.29638637
       7.2000000      0.54360443      0.40671709      0.38754364      0.29358932
       8.6400000      0.58705747      0.42582101      0.38805347      0.29054400
       10.080000      0.62367042      0.44545334      0.39037368      0.29109788
       11.520000      0.65558870      0.46833277      0.39962747      0.30191999
       12.960000      0.68693023      0.49917430      0.42244501      0.33021384
       14.400000      0.72256083      0.54289388      0.46399953      0.37951134
       15.840000      0.76646609      0.60227942      0.52514191      0.44768938
       17.280000      0.82042328      0.67686883      0.60225638      0.52887313
       18.720000      0.88385593      0.76402770      0.68958451      0.61633648
       20.160000      0.95528766      0.86175037      0.78214336      0.70468756
       21.600000       1.0352593      0.97245249      0.87868362      0.79196680
