Results for:	RMS Wave Error vs. Field


File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\US002838978_Example01P.zmx
Title:	US 2,838,978 Example 1 (Canon 50mm f2.8)
Date:	11/7/2025 4:55:31 PM

0 message(s) in output.
RMS units are in waves.
Reference: Centroid.
Field units are in Millimeters.
1 series table(s) in output.

Table series: Field is oriented along the +y direction.
           Field            Poly          0.4861          0.5876          0.6563
  --------------  --------------  --------------  --------------  --------------
      0.00000000       1.2210849       1.7002121       1.0925532      0.62349921
       1.4400000       1.2189123       1.6970588       1.0898536      0.62237715
       2.8800000       1.2150280       1.6897606       1.0844132      0.62355206
       4.3200000       1.2176739       1.6851588       1.0845992      0.64075194
       5.7600000       1.2412424       1.6955859       1.1051177      0.69501644
       7.2000000       1.3054559       1.7391767       1.1660796      0.80720237
       8.6400000       1.4312883       1.8379580       1.2883611      0.98889457
       10.080000       1.6343911       2.0125924       1.4864806       1.2411039
       11.520000       1.9206882       2.2759168       1.7644996       1.5589358
       12.960000       2.2872626       2.6301522       2.1175792       1.9349955
       14.400000       2.7270658       3.0707008       2.5365179       2.3607646
       15.840000       3.2367880       3.5973580       3.0142719       2.8291885
       17.280000       3.8327725       4.2378480       3.5592661       3.3434253
       18.720000       4.5862738       5.0962461       4.2265967       3.9406595
       20.160000       5.6919314       6.4375878       5.1823367       4.7457218
       21.600000       7.5654707       8.7890366       6.8006739       6.0629093
