Results for:	Relative Illumination Data


File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\US002838978_Example01P.zmx
Title:	US 2,838,978 Example 1 (Canon 50mm f2.8)
Date:	11/7/2025 4:15:56 PM

0 message(s) in output.
Wavelength: 0.587562 µm
Field values are in Millimeters
Relative Illumination values are dimensionless.
1 series table(s) in output.

Table series: See program documentation for a discussion of Effective F/#.
         Y Field        Rel. Ill   Effective F/#
  --------------  --------------  --------------
      0.00000000       1.0000000       2.9345438
       1.0800000      0.99920657       2.9357087
       2.1600000      0.99683453       2.9391995
       3.2400000      0.98032294       2.9638486
       4.3200000      0.97467260       2.9724271
       5.4000000      0.96770063       2.9831156
       6.4800000      0.95448777       3.0036921
       7.5600000      0.94501519       3.0187087
       8.6400000      0.91130978       3.0740263
       9.7200000      0.86029530       3.1638568
       10.800000      0.80068542       3.2795151
       11.880000      0.77445338       3.3345939
       12.960000      0.74930710       3.3900857
       14.040000      0.70669239       3.4908034
       15.120000      0.66354167       3.6025208
       16.200000      0.61719851       3.7353230
       17.280000      0.58154358       3.8481276
       18.360000      0.52571415       4.0473034
       19.440000      0.48319602       4.2216179
       20.520000      0.44332674       4.4073611
       21.600000      0.40950743       4.5857429
