Results for:	RMS Wave Error vs. Field


File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\US002896506_Example01_Tale03.zmx
Title:	Nikon W-Nikkor 3.5cm f/1.8 (US 2,896,506 Example 1 scaled)
Date:	11/7/2025 4:55:34 PM

0 message(s) in output.
RMS units are in waves.
Reference: Centroid.
Field units are in Millimeters.
1 series table(s) in output.

Table series: Field is oriented along the +y direction.
           Field            Poly          0.4861          0.5876          0.6563
  --------------  --------------  --------------  --------------  --------------
      0.00000000       3.2070050       4.8868623       2.3908886       1.1211031
       1.4400000       3.1337486       4.7775264       2.3160206       1.0862693
       2.8800000       2.9523866       4.4798837       2.1416818       1.0798584
       4.3200000       2.7862205       4.0918456       2.0359216       1.3424221
       5.7600000       2.8328271       3.7901227       2.2482848       1.9665593
       7.2000000       3.2430207       3.7927730       2.8753925       2.8423147
       8.6400000       3.9813076       4.2075840       3.7855487       3.8495973
       10.080000       4.8963938       4.9338488       4.8104850       4.8933806
       11.520000       5.8485442       5.7904604       5.8293292       5.8997401
       12.960000       6.7668780       6.6714557       6.7850142       6.8307093
       14.400000       7.6952630       7.6384905       7.7193020       7.7200971
       15.840000       8.8477082       8.9842741       8.8255759       8.7219093
       17.280000       10.608362       11.185217       10.459424       10.131114
       18.720000       13.388764       14.673381       13.022058       12.307309
       20.160000       17.431936       19.639691       16.773037       15.516407
       21.600000       22.750932       26.034055       21.750992       19.832045
