Results for:	Relative Illumination Data


File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\US002896506_Example01_Tale03.zmx
Title:	Nikon W-Nikkor 3.5cm f/1.8 (US 2,896,506 Example 1 scaled)
Date:	11/7/2025 4:15:58 PM

0 message(s) in output.
Wavelength: 0.587562 µm
Field values are in Millimeters
Relative Illumination values are dimensionless.
1 series table(s) in output.

Table series: See program documentation for a discussion of Effective F/#.
         Y Field        Rel. Ill   Effective F/#
  --------------  --------------  --------------
      0.00000000       1.0000000       1.8892645
       1.0800000      0.99219696       1.8966789
       2.1600000      0.98651203       1.9021360
       3.2400000      0.96962550       1.9186279
       4.3200000      0.95641492       1.9318330
       5.4000000      0.94001751       1.9486094
       6.4800000      0.91461205       1.9754876
       7.5600000      0.89303481       1.9992107
       8.6400000      0.84645794       2.0534781
       9.7200000      0.77846648       2.1412768
       10.800000      0.70533246       2.2495509
       11.880000      0.66229560       2.3214900
       12.960000      0.61281005       2.4134029
       14.040000      0.54437399       2.5606138
       15.120000      0.49773489       2.6778961
       16.200000      0.43421562       2.8670815
       17.280000      0.36581927       3.1236292
       18.360000      0.29081527       3.5033551
       19.440000      0.21438547       4.0803281
       20.520000      0.14182021       5.0167644
       21.600000     0.054427600       8.0981006
