Results for:	RMS Wave Error vs. Field


File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\US003038380_Example01P.zmx
Title:	US 3,038,380 Example 1 (Zeiss Distagon 4/35)
Date:	11/7/2025 4:55:47 PM

0 message(s) in output.
RMS units are in waves.
Reference: Centroid.
Field units are in Millimeters.
1 series table(s) in output.

Table series: Field is oriented along the +y direction.
           Field            Poly          0.4861          0.5876          0.6563
  --------------  --------------  --------------  --------------  --------------
      0.00000000       1.4382934       2.4007779     0.080829952      0.66014850
       1.4420000       1.4672514       2.4008907     0.086920081      0.66000354
       2.8840000       1.5519378       2.4022688      0.10738691      0.65960189
       4.3260000       1.6868508       2.4079453      0.14547661      0.65906877
       5.7680000       1.8653762       2.4226627      0.20203705      0.65869138
       7.2100000       2.0815252       2.4523197      0.27620991      0.65899859
       8.6520000       2.3306056       2.5030704      0.36643769      0.66074936
       10.094000       2.6091156       2.5800596      0.47037645      0.66462810
       11.536000       2.9142835       2.6859111      0.58421857      0.67037277
       12.978000       3.2435376       2.8192396      0.70175649      0.67514646
       14.420000       3.5941373       2.9735654      0.81347163      0.67131069
       15.862000       3.9633558       3.1371618      0.90643533      0.64437208
       17.304000       4.3500815       3.2949985      0.96770082      0.57363020
       18.746000       4.7597216       3.4360552       1.0006171      0.45114979
       20.188000       5.2162782       3.5749323       1.0808034      0.43303022
       21.630000       5.7884965       3.8072900       1.4457664      0.92301314
