Results for:	RMS Wave Error vs. Field


File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\US003108152_Example02P.zmx
Title:	US 3,108,152 Example 2 (Leica Elmarit-M 135mm F2.8)
Date:	11/7/2025 4:55:49 PM

0 message(s) in output.
RMS units are in waves.
Reference: Centroid.
Field units are in Millimeters.
1 series table(s) in output.

Table series: Field is oriented along the +y direction.
           Field            Poly          0.4861          0.5876          0.6563
  --------------  --------------  --------------  --------------  --------------
      0.00000000      0.92956928       1.2042886       1.0384602      0.25216353
       1.4400000      0.93419845       1.2106077       1.0413258      0.26015648
       2.8800000      0.94733768       1.2286246       1.0493742      0.28171034
       4.3200000      0.96690183       1.2557173       1.0610496      0.31126139
       5.7600000      0.98987867       1.2880901       1.0740312      0.34292997
       7.2000000       1.0128376       1.3213973       1.0855604      0.37192885
       8.6400000       1.0324120       1.3513199       1.0927909      0.39481821
       10.080000       1.0457165       1.3740370       1.0931335      0.40952124
       11.520000       1.0507340       1.3866242       1.0846135      0.41556886
       12.960000       1.0467563       1.3874599       1.0662990      0.41480134
       14.400000       1.0349779       1.3767416       1.0388968      0.41266790
       15.840000       1.0193327       1.3572105       1.0056436      0.41976775
       17.280000       1.0075443       1.3351425      0.97357480      0.45157868
       18.720000       1.0119605       1.3214604      0.95492190      0.52336750
       20.160000       1.0489894       1.3322911      0.96738643      0.64337506
       21.600000       1.1357767       1.3875511       1.0309566      0.81237934
