Results for:	Relative Illumination Data


File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\US003376091_Example01P.zmx
Title:	US 3,376,091 Example 1 (Schneider Super-Angulon 5.6 / 75)
Date:	11/7/2025 4:16:08 PM

0 message(s) in output.
Wavelength: 0.587562 µm
Field values are in Millimeters
Relative Illumination values are dimensionless.
1 series table(s) in output.

Table series: See program documentation for a discussion of Effective F/#.
         Y Field        Rel. Ill   Effective F/#
  --------------  --------------  --------------
      0.00000000       1.0000000       5.9441196
       3.9000000      0.99474612       5.9597962
       7.8000000      0.98170558       5.9992493
       11.700000      0.96160831       6.0616162
       15.600000      0.93442110       6.1491660
       19.500000      0.88469703       6.3196096
       23.400000      0.81558478       6.5819258
       27.300000      0.75931022       6.8214691
       31.200000      0.68265607       7.1942671
       35.100000      0.57683915       7.8263663
       39.000000      0.51848510       8.2550441
       42.900000      0.45557847       8.8065527
       46.800000      0.36397926       9.8525629
       50.700000      0.31973972       10.512094
       54.600000      0.27683515       11.297359
       58.500000      0.22236034       12.605465
       62.400000      0.17506301       14.206606
       66.300000      0.15010507       15.342278
       70.200000      0.12215895       17.006890
       74.100000     0.090674911       19.739855
       78.000000     0.066706189       23.014655
