Results for:	Relative Illumination Data


File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\US003459468_Example01P.zmx
Title:	US 3,459,468 Example 1 (Leica 50mm Noctilux f/1.2)
Date:	11/7/2025 4:16:10 PM

0 message(s) in output.
Wavelength: 0.587562 µm
Field values are in Millimeters
Relative Illumination values are dimensionless.
1 series table(s) in output.

Table series: See program documentation for a discussion of Effective F/#.
         Y Field        Rel. Ill   Effective F/#
  --------------  --------------  --------------
      0.00000000      1.00000000       1.2774742
       1.0800000      0.98653610       1.2861619
       2.1600000      0.97254279       1.2953818
       3.2400000      0.96961948       1.2973330
       4.3200000      0.96574848       1.2999305
       5.4000000      0.95986736       1.3039067
       6.4800000      0.95124589       1.3098023
       7.5600000      0.93393309       1.3218868
       8.6400000      0.89007355       1.3540640
       9.7200000      0.82178461       1.4092016
       10.800000      0.79018907       1.4370988
       11.880000      0.74801150       1.4770595
       12.960000      0.66952447       1.5612373
       14.040000      0.61565752       1.6281055
       15.120000      0.56751547       1.6957557
       16.200000      0.48729794       1.8300158
       17.280000      0.42285965       1.9645090
       18.360000      0.37214076       2.0941053
       19.440000      0.29030266       2.3709731
       20.520000      0.19042012       2.9274920
       21.600000      0.15094450       3.2880884
