Results for:	RMS Wave Error vs. Field


File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\US003663095_Example02P.zmx
Title:	US 3,663,095 Example 2 (Nikon Nikkor-PD Auto 15mm f/5.6)
Date:	11/7/2025 4:56:36 PM

0 message(s) in output.
RMS units are in waves.
Reference: Centroid.
Field units are in Millimeters.
1 series table(s) in output.

Table series: Field is oriented along the +y direction.
           Field            Poly          0.4861          0.5876          0.6563
  --------------  --------------  --------------  --------------  --------------
      0.00000000      0.32913785      0.43899168      0.30841653      0.19277115
       1.4400000      0.35594553      0.43947289      0.30752218      0.19175675
       2.8800000      0.42747942      0.44456196      0.30873321      0.19360751
       4.3200000      0.52714860      0.46255116      0.32109280      0.20923204
       5.7600000      0.64069082      0.49942418      0.35107743      0.24431940
       7.2000000      0.75623275      0.55284936      0.39546229      0.29205865
       8.6400000      0.86298882      0.61337043      0.44266134      0.33856111
       10.080000      0.95179051      0.67132735      0.47949885      0.36999094
       11.520000       1.0171325      0.72441813      0.49747666      0.37666242
       12.960000       1.0597888      0.78272299      0.49833398      0.35748167
       14.400000       1.0882742      0.86608923      0.49886325      0.32800755
       15.840000       1.1166605      0.98900102      0.52821743      0.33011339
       17.280000       1.1592756       1.1450948      0.61098107      0.41347268
       18.720000       1.2340437       1.3177949      0.76418038      0.59838776
       20.160000       1.3939306       1.5296434       1.0366878      0.91463415
       21.600000       1.7691520       1.9128469       1.5355453       1.4359686
