Results for:	RMS Wave Error vs. Field


File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\US003738736_Example03P.zmx
Title:	US 3,738,736 Example 3 (Nikon Nikkor 50mm f/1.2)
Date:	11/7/2025 4:56:43 PM

0 message(s) in output.
RMS units are in waves.
Reference: Centroid.
Field units are in Millimeters.
1 series table(s) in output.

Table series: Field is oriented along the +y direction.
           Field            Poly          0.4861          0.5876          0.6563
  --------------  --------------  --------------  --------------  --------------
      0.00000000       4.5328811       6.5261544       4.0940688       1.5129257
       1.4400000       4.3184762       6.2572223       3.8635258       1.3511488
       2.8800000       3.8135861       5.5629267       3.3025471       1.2664384
       4.3200000       3.5619054       4.8868134       2.9782461       2.2145542
       5.7600000       4.4199209       5.1477018       3.8550577       4.0592197
       7.2000000       6.4984716       6.9437881       5.9654142       6.4478820
       8.6400000       9.3304065       9.8628317       8.7735408       9.2091743
       10.080000       12.568424       13.371905       11.949879       12.208041
       11.520000       15.984908       17.132435       15.286141       15.314726
       12.960000       19.408852       20.919852       18.622349       18.406867
       14.400000       22.719837       24.594768       21.841593       21.384832
       15.840000       25.878113       28.134712       24.898132       24.200553
       17.280000       28.985892       31.711624       27.873489       26.904861
       18.720000       32.377334       35.802173       31.059218       29.716518
       20.160000       36.711464       41.281783       35.045136       33.101727
       21.600000       43.000033       49.407405       40.751201       37.820878
