Results for:	RMS Wave Error vs. Field


File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\US003817603_Example01P.zmx
Title:	US 3,817,603 Example 1 (Ricoh smc Pentax-M 50mm F1.7)
Date:	11/7/2025 4:56:56 PM

0 message(s) in output.
RMS units are in waves.
Reference: Centroid.
Field units are in Millimeters.
1 series table(s) in output.

Table series: Field is oriented along the +y direction.
           Field            Poly          0.4861          0.5876          0.6563
  --------------  --------------  --------------  --------------  --------------
      0.00000000       2.5847265       3.7507284       2.2356296      0.98814457
       1.4400000       2.5968614       3.7652256       2.2465440      0.99643701
       2.8800000       2.6295309       3.8036811       2.2758000       1.0199367
       4.3200000       2.6715265       3.8511241       2.3128693       1.0537971
       5.7600000       2.7044374       3.8832016       2.3402939       1.0887749
       7.2000000       2.7039446       3.8675663       2.3347903       1.1128519
       8.6400000       2.6434822       3.7670015       2.2707381       1.1189348
       10.080000       2.5035402       3.5467239       2.1295161       1.1247972
       11.520000       2.2966601       3.1939894       1.9260471       1.2104536
       12.960000       2.1345143       2.7787839       1.7837493       1.5296020
       14.400000       2.3279241       2.6203793       2.0322709       2.2150634
       15.840000       3.2275805       3.3337416       2.9737489       3.3234416
       17.280000       4.9036080       5.1654111       4.6186175       4.8955789
       18.720000       7.3313743       7.9980728       6.9433566       6.9917876
       20.160000       10.556867       11.821702       10.000735       9.6962087
       21.600000       14.696066       16.754763       13.902582       13.120304
