Results for:	RMS Wave Error vs. Field


File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\US003830559_Example01P.zmx
Title:	US 3,830,559 Example 1 (Olympus 24mm f2 J Zuiko Auto-W)
Date:	11/7/2025 4:57:02 PM

0 message(s) in output.
RMS units are in waves.
Reference: Centroid.
Field units are in Millimeters.
1 series table(s) in output.

Table series: Field is oriented along the +y direction.
           Field            Poly          0.4861          0.5876          0.6563
  --------------  --------------  --------------  --------------  --------------
      0.00000000       1.8065352       1.9648265       1.9579189       1.4480049
       1.4400000       1.7988832       1.9500092       1.9355196       1.4270269
       2.8800000       1.7789224       1.9121734       1.8704253       1.3666415
       4.3200000       1.7579081       1.8747307       1.7713133       1.2773815
       5.7600000       1.7624546       1.8877122       1.6622877       1.1886557
       7.2000000       1.8447796       2.0351194       1.6018198       1.1699317
       8.6400000       2.0850883       2.4173775       1.7010588       1.3348039
       10.080000       2.5709847       3.1127642       2.0888038       1.7735161
       11.520000       3.3715685       4.1705163       2.8344019       2.5100113
       12.960000       4.5406995       5.6376784       3.9593868       3.5555405
       14.400000       6.1373694       7.5794818       5.4939690       4.9434815
       15.840000       8.2400956       10.087244       7.4964042       6.7312597
       17.280000       10.955858       13.284157       10.054325       8.9988517
       18.720000       14.431173       17.335474       13.287755       11.851502
       20.160000       18.871694       22.467463       17.358529       15.427481
       21.600000       24.578968       29.001853       22.488668       19.912181
