Results for:	Listing of Longitudinal Aberration Data


File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\US003850509_Example01P.zmx
Title:	US 3,850,509 Example 1 (Olympus 16mm f3.5 Zuiko Auto-Fisheye)
Date:	11/7/2025 3:50:55 PM

0 message(s) in output.
1 series table(s) in output.

Table series: Units are Millimeters.
      Rel. Pupil          0.4861          0.5876          0.6563
  --------------  --------------  --------------  --------------
      0.00000000    -0.033356731 -4.6401878E-003     0.041584857
     0.010000000    -0.033406622 -4.6945574E-003     0.041529021
     0.020000000    -0.033606126 -4.9119787E-003     0.041305733
     0.030000000    -0.033938419 -5.2741461E-003     0.040933783
     0.040000000    -0.034403184 -5.7807574E-003     0.040413469
     0.050000000    -0.034999973 -6.4313885E-003     0.039745206
     0.060000000    -0.035728212 -7.2254940E-003     0.038929530
     0.070000000    -0.036587195 -8.1624057E-003     0.037967096
     0.080000000    -0.037576088 -9.2413325E-003     0.036858679
     0.090000000    -0.038693928    -0.010461359     0.035605177
      0.10000000    -0.039939616    -0.011821446     0.034207612
      0.11000000    -0.041311925    -0.013320427     0.032667126
      0.12000000    -0.042809490    -0.014957009     0.030984987
      0.13000000    -0.044430812    -0.016729770     0.029162592
      0.14000000    -0.046174256    -0.018637159     0.027201461
      0.15000000    -0.048038046    -0.020677491     0.025103247
      0.16000000    -0.050020267    -0.022848950     0.022869732
      0.17000000    -0.052118859    -0.025149583     0.020502831
      0.18000000    -0.054331619    -0.027577300     0.018004595
      0.19000000    -0.056656197    -0.030129871     0.015377210
      0.20000000    -0.059090090    -0.032804925     0.012623004
      0.21000000    -0.061630647    -0.035599945  9.7444462E-003
      0.22000000    -0.064275057    -0.038512265  6.7441490E-003
      0.23000000    -0.067020354    -0.041539073  3.6248739E-003
      0.24000000    -0.069863407    -0.044677398  3.8953254E-004
      0.25000000    -0.072800922    -0.047924118 -2.9588098E-003
      0.26000000    -0.075829436    -0.051275946 -6.4169307E-003
      0.27000000    -0.078945312    -0.054729434 -9.9814469E-003
      0.28000000    -0.082144737    -0.058280966    -0.013648811
      0.29000000    -0.085423717    -0.061926752    -0.017415306
      0.30000000    -0.088778071    -0.065662828    -0.021277043
      0.31000000    -0.092203430    -0.069485049    -0.025229956
      0.32000000    -0.095695226    -0.073389085    -0.029269798
      0.33000000    -0.099248695    -0.077370414    -0.033392134
      0.34000000     -0.10285886    -0.081424321    -0.037592336
      0.35000000     -0.10652054    -0.085545888    -0.041865582
      0.36000000     -0.11022833    -0.089729991    -0.046206845
      0.37000000     -0.11397661    -0.093971291    -0.050610888
      0.38000000     -0.11775950    -0.098264232    -0.055072262
      0.39000000     -0.12157093     -0.10260303    -0.059585293
      0.40000000     -0.12540453     -0.10698167    -0.064144080
      0.41000000     -0.12925372     -0.11139390    -0.068742486
      0.42000000     -0.13311163     -0.11583320    -0.073374130
      0.43000000     -0.13697114     -0.12029283    -0.078032380
      0.44000000     -0.14082483     -0.12476574    -0.082710345
      0.45000000     -0.14466501     -0.12924465    -0.087400863
      0.46000000     -0.14848368     -0.13372197    -0.092096496
      0.47000000     -0.15227254     -0.13818982    -0.096789520
      0.48000000     -0.15602295     -0.14264003     -0.10147191
      0.49000000     -0.15972596     -0.14706408     -0.10613534
      0.50000000     -0.16337226     -0.15145318     -0.11077115
      0.51000000     -0.16695220     -0.15579816     -0.11537036
      0.52000000     -0.17045575     -0.16008952     -0.11992366
      0.53000000     -0.17387251     -0.16431738     -0.12442136
      0.54000000     -0.17719166     -0.16847151     -0.12885340
      0.55000000     -0.18040198     -0.17254125     -0.13320937
      0.56000000     -0.18349181     -0.17651557     -0.13747842
      0.57000000     -0.18644907     -0.18038299     -0.14164931
      0.58000000     -0.18926119     -0.18413162     -0.14571036
      0.59000000     -0.19191512     -0.18774909     -0.14964946
      0.60000000     -0.19439733     -0.19122256     -0.15345400
      0.61000000     -0.19669373     -0.19453870     -0.15711092
      0.62000000     -0.19878972     -0.19768366     -0.16060664
      0.63000000     -0.20067011     -0.20064306     -0.16392704
      0.64000000     -0.20231914     -0.20340194     -0.16705748
      0.65000000     -0.20372040     -0.20594478     -0.16998273
      0.66000000     -0.20485687     -0.20825544     -0.17268696
      0.67000000     -0.20571083     -0.21031715     -0.17515373
      0.68000000     -0.20626388     -0.21211247     -0.17736595
      0.69000000     -0.20649688     -0.21362326     -0.17930583
      0.70000000     -0.20638992     -0.21483068     -0.18095489
      0.71000000     -0.20592227     -0.21571512     -0.18229392
      0.72000000     -0.20507241     -0.21625616     -0.18330290
      0.73000000     -0.20381789     -0.21643257     -0.18396102
      0.74000000     -0.20213537     -0.21622226     -0.18424661
      0.75000000     -0.20000053     -0.21560221     -0.18413713
      0.76000000     -0.19738807     -0.21454845     -0.18360909
      0.77000000     -0.19427160     -0.21303604     -0.18263801
      0.78000000     -0.19062363     -0.21103894     -0.18119842
      0.79000000     -0.18641551     -0.20853006     -0.17926374
      0.80000000     -0.18161736     -0.20548114     -0.17680628
      0.81000000     -0.17619801     -0.20186268     -0.17379715
      0.82000000     -0.17012493     -0.19764395     -0.17020623
      0.83000000     -0.16336420     -0.19279285     -0.16600206
      0.84000000     -0.15588037     -0.18727587     -0.16115183
      0.85000000     -0.14763642     -0.18105802     -0.15562126
      0.86000000     -0.13859368     -0.17410276     -0.14937454
      0.87000000     -0.12871170     -0.16637187     -0.14237426
      0.88000000     -0.11794822     -0.15782543     -0.13458129
      0.89000000     -0.10625901     -0.14842164     -0.12595473
      0.90000000    -0.093597762     -0.13811680     -0.11645176
      0.91000000    -0.079916022     -0.12686516     -0.10602758
      0.92000000    -0.065163015     -0.11461877    -0.094635253
      0.93000000    -0.049285521     -0.10132742    -0.082225623
      0.94000000    -0.032227781    -0.086938501    -0.068747182
      0.95000000    -0.013931252    -0.071396788    -0.054145875
      0.96000000  5.6654920E-003    -0.054644356    -0.038365008
      0.97000000     0.026626977    -0.036620371    -0.021345046
      0.98000000     0.049020909    -0.017261011 -3.0235332E-003
      0.99000000     0.072918601  3.5009133E-003     0.016665272
       1.0000000     0.098394971     0.025735981     0.037790419
