Results for:	RMS Wave Error vs. Field


File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\US003884557_Example01P.zmx
Title:	US 3,884,557 Example 1 (Olympus 50mm f3.5 Zuiko Auto-Macro)
Date:	11/7/2025 4:57:23 PM

0 message(s) in output.
RMS units are in waves.
Reference: Centroid.
Field units are in Millimeters.
1 series table(s) in output.

Table series: Field is oriented along the +y direction.
           Field            Poly          0.4861          0.5876          0.6563
  --------------  --------------  --------------  --------------  --------------
      0.00000000      0.23940847      0.36752904      0.15036290      0.11942634
       1.4420000      0.24105305      0.36715991      0.15077692      0.12577455
       2.8840000      0.24666274      0.36652832      0.15355041      0.14487212
       4.3260000      0.25800375      0.36699260      0.16273571      0.17663445
       5.7680000      0.27723677      0.37059783      0.18298571      0.22054819
       7.2100000      0.30614060      0.37981248      0.21701052      0.27573839
       8.6520000      0.34579643      0.39734929      0.26490402      0.34124095
       10.094000      0.39698788      0.42627853      0.32563989      0.41631009
       11.536000      0.46105131      0.47051767      0.39871609      0.50073674
       12.978000      0.54072700      0.53546385      0.48507248      0.59518275
       14.420000      0.64068740      0.62828942      0.58749812      0.70150353
       15.862000      0.76756895      0.75757667      0.71071157      0.82299139
       17.304000      0.92949282      0.93247574      0.86111888      0.96444707
       18.746000       1.1352693       1.1619010       1.0462691       1.1320027
       20.188000       1.3936084       1.4540899       1.2741466       1.3326905
       21.630000       1.7125740       1.8164747       1.5525064       1.5738508
