Results for:	RMS Wave Error vs. Field


File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\US004046459_Example02P.zmx
Title:	US 4,046,459 Example 2 (Canon FD28mm f2.8 SC)
Date:	11/7/2025 4:57:47 PM

0 message(s) in output.
RMS units are in waves.
Reference: Centroid.
Field units are in Millimeters.
1 series table(s) in output.

Table series: Field is oriented along the +y direction.
           Field            Poly          0.4861          0.5876          0.6563
  --------------  --------------  --------------  --------------  --------------
      0.00000000      0.73676936      0.97346537      0.73977378      0.36549584
       1.4400000      0.76485842       1.0013987      0.75824958      0.38416653
       2.8800000      0.84084752       1.0781521      0.80944965      0.43448280
       4.3200000      0.94589236       1.1866521      0.88265271      0.50405628
       5.7600000       1.0596924       1.3068194      0.96420478      0.57998305
       7.2000000       1.1640371       1.4194347       1.0396974      0.65027773
       8.6400000       1.2427640       1.5071928       1.0946804      0.70333019
       10.080000       1.2816732       1.5556189       1.1152093      0.72799962
       11.520000       1.2705178       1.5563235       1.0897520      0.71581230
       12.960000       1.2103906       1.5164929       1.0156387      0.66896298
       14.400000       1.1356473       1.4824443      0.92017983      0.62604128
       15.840000       1.1607587       1.5773381      0.91480895      0.70781853
       17.280000       1.4775574       1.9840284       1.1997826       1.0518173
       18.720000       2.1952038       2.8219875       1.8672544       1.6848964
       20.160000       3.3239401       4.1295285       2.9079595       2.6119312
       21.600000       4.8876265       5.9475496       4.3425737       3.8690409
