Results for:	RMS Wave Error vs. Field


File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\US004057330_Example02P.zmx
Title:	US 4,057,330 Example 2 (Nikon AI Nikkor 135mm f/2.8S)
Date:	11/7/2025 4:57:49 PM

0 message(s) in output.
RMS units are in waves.
Reference: Centroid.
Field units are in Millimeters.
1 series table(s) in output.

Table series: Field is oriented along the +y direction.
           Field            Poly          0.4861          0.5876          0.6563
  --------------  --------------  --------------  --------------  --------------
      0.00000000      0.99820454       1.5290809      0.74198523      0.31718499
       1.4400000       1.0048096       1.5363073      0.74948600      0.31926339
       2.8800000       1.0239978       1.5573309      0.77109655      0.32524719
       4.3200000       1.0539931       1.5902673      0.80436620      0.33439698
       5.7600000       1.0921348       1.6322173      0.84581340      0.34552636
       7.2000000       1.1351966       1.6795454      0.89147160      0.35706448
       8.6400000       1.1796711       1.7281536      0.93727062      0.36714254
       10.080000       1.2219892       1.7737158      0.97924005      0.37372341
       11.520000       1.2586952       1.8118791       1.0136125      0.37482383
       12.960000       1.2866295       1.8384606       1.0369195      0.36893915
       14.400000       1.3031849       1.8496993       1.0461691      0.35592147
       15.840000       1.3067275       1.8426392       1.0392104      0.33884682
       17.280000       1.2973129       1.8157729       1.0154609      0.32758724
       18.720000       1.2778936       1.7701568      0.97732991      0.34248960
       20.160000       1.2562358       1.7113375      0.93289189      0.40869040
       21.600000       1.2474728       1.6524834      0.90021912      0.53972506
