Results for:	RMS Wave Error vs. Field


File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\US004062630_Example05_Tale30.zmx
Title:	Nikon AI Nikkor 135mm F2 (US 4,062,630 Example 5)
Date:	11/7/2025 4:57:50 PM

0 message(s) in output.
RMS units are in waves.
Reference: Centroid.
Field units are in Millimeters.
1 series table(s) in output.

Table series: Field is oriented along the +y direction.
           Field            Poly          0.4861          0.5876          0.6563
  --------------  --------------  --------------  --------------  --------------
      0.00000000       1.3262012       1.9441724      0.80839856      0.91821261
       1.4400000       1.3441199       1.9631661      0.82399010      0.91295246
       2.8800000       1.3969601       2.0194557      0.86853497      0.89703655
       4.3200000       1.4823768       2.1112225      0.93645445      0.87006299
       5.7600000       1.5975759       2.2361984       1.0211481      0.83141870
       7.2000000       1.7404379       2.3925923       1.1169976      0.78053696
       8.6400000       1.9105323       2.5801415       1.2206611      0.71773552
       10.080000       2.1100299       2.8012784       1.3321179      0.64658210
       11.520000       2.3446237       3.0624738       1.4559501      0.58001391
       12.960000       2.6245279       3.3757918       1.6029990      0.55241189
       14.400000       2.9655341       3.7606087       1.7920360      0.62239826
       15.840000       3.3900651       4.2453609       2.0505970      0.83217824
       17.280000       3.9282539       4.8692246       2.4142456       1.1855931
       18.720000       4.6193509       5.6839463       2.9249328       1.6839595
       20.160000       5.5141680       6.7566362       3.6308564       2.3450311
       21.600000       6.6796437       8.1748970       4.5901819       3.2047691
