Results for:	RMS Wave Error vs. Field


File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\US004063802_Example01P.zmx
Title:	US 4,063,802 Example 1 (Olympus Zuiko Auto-T 85mm)
Date:	11/7/2025 4:57:52 PM

0 message(s) in output.
RMS units are in waves.
Reference: Centroid.
Field units are in Millimeters.
1 series table(s) in output.

Table series: Field is oriented along the +y direction.
           Field            Poly          0.4861          0.5876          0.6563
  --------------  --------------  --------------  --------------  --------------
      0.00000000       1.7400541       2.0439548       1.9613609       1.0289200
       1.4426667       1.7385635       2.0415548       1.9577325       1.0270465
       2.8853333       1.7342727       2.0343611       1.9470394       1.0219494
       4.3280000       1.7277406       2.0224480       1.9298583       1.0151591
       5.7706667       1.7199707       2.0061549       1.9071609       1.0090827
       7.2133333       1.7125912       1.9865522       1.8803717       1.0067734
       8.6560000       1.7082998       1.9664454       1.8515766       1.0116602
       10.098667       1.7118667       1.9524259       1.8241184       1.0274759
       11.541333       1.7321677       1.9587037       1.8040407       1.0588898
       12.984000       1.7857301       2.0131244       1.8031037       1.1135423
       14.426667       1.9015357       2.1634294       1.8439925       1.2059478
       15.869333       2.1246588       2.4772717       1.9666665       1.3624581
       17.312000       2.5145186       3.0312411       2.2306774       1.6241679
       18.754667       3.1377902       3.8993339       2.7075068       2.0444598
       20.197333       4.0639312       5.1551345       3.4689980       2.6836134
       21.640000       5.3687812       6.8835877       4.5862654       3.6072269
