Results for:	Listing of Longitudinal Aberration Data


File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\US004123144_Example08P.zmx
Title:	US 4,123,144 Example 8 (Leica Summicron R 50mm f/2)
Date:	11/7/2025 3:51:19 PM

0 message(s) in output.
1 series table(s) in output.

Table series: Units are Millimeters.
      Rel. Pupil          0.4861          0.5876          0.6563
  --------------  --------------  --------------  --------------
      0.00000000    -0.033940946     0.036089268     0.098811204
     0.010000000    -0.033969876     0.036053843     0.098773654
     0.020000000    -0.034085554     0.035912184     0.098623490
     0.030000000    -0.034278204     0.035676226     0.098373357
     0.040000000    -0.034547607     0.035346181     0.098023463
     0.050000000    -0.034893454     0.034922344     0.097574101
     0.060000000    -0.035315347     0.034405097     0.097025649
     0.070000000    -0.035812801     0.033794906     0.096378567
     0.080000000    -0.036385241     0.033092323     0.095633403
     0.090000000    -0.037032004     0.032297986     0.094790787
      0.10000000    -0.037752333     0.031412620     0.093851437
      0.11000000    -0.038545383     0.030437036     0.092816155
      0.12000000    -0.039410218     0.029372134     0.091685833
      0.13000000    -0.040345809     0.028218903     0.090461448
      0.14000000    -0.041351032     0.026978418     0.089144065
      0.15000000    -0.042424674     0.025651848     0.087734841
      0.16000000    -0.043565422     0.024240451     0.086235020
      0.17000000    -0.044771871     0.022745577     0.084645939
      0.18000000    -0.046042516     0.021168671     0.082969027
      0.19000000    -0.047375757     0.019511269     0.081205805
      0.20000000    -0.048769892     0.017775004     0.079357890
      0.21000000    -0.050223119     0.015961607     0.077426993
      0.22000000    -0.051733535     0.014072906     0.075414924
      0.23000000    -0.053299132     0.012110828     0.073323591
      0.24000000    -0.054917795     0.010077403     0.071155002
      0.25000000    -0.056587307  7.9747611E-003     0.068911267
      0.26000000    -0.058305336  5.8051395E-003     0.066594598
      0.27000000    -0.060069443  3.5708804E-003     0.064207314
      0.28000000    -0.061877076  1.2744347E-003     0.061751841
      0.29000000    -0.063725566 -1.0816365E-003     0.059230715
      0.30000000    -0.065612129 -3.4946597E-003     0.056646580
      0.31000000    -0.067533861 -5.9618468E-003     0.054002197
      0.32000000    -0.069487736 -8.4802929E-003     0.051300442
      0.33000000    -0.071470603    -0.011046973     0.048544307
      0.34000000    -0.073479186    -0.013658742     0.045736908
      0.35000000    -0.075510075    -0.016312328     0.042881482
      0.36000000    -0.077559733    -0.019004333     0.039981392
      0.37000000    -0.079624482    -0.021731229     0.037040132
      0.38000000    -0.081700509    -0.024489355     0.034061325
      0.39000000    -0.083783857    -0.027274911     0.031048732
      0.40000000    -0.085870422    -0.030083961     0.028006251
      0.41000000    -0.087955953    -0.032912424     0.024937921
      0.42000000    -0.090036046    -0.035756072     0.021847926
      0.43000000    -0.092106138    -0.038610527     0.018740602
      0.44000000    -0.094161508    -0.041471258     0.015620434
      0.45000000    -0.096197266    -0.044333572     0.012492068
      0.46000000    -0.098208353    -0.047192620  9.3603027E-003
      0.47000000     -0.10018954    -0.050043381  6.2301102E-003
      0.48000000     -0.10213542    -0.052880664  3.1066297E-003
      0.49000000     -0.10404039    -0.055699101 -4.8253775E-006
      0.50000000     -0.10589867    -0.058493143 -3.0987624E-003
      0.51000000     -0.10770428    -0.061257057 -6.1695043E-003
      0.52000000     -0.10945104    -0.063984917 -9.2111848E-003
      0.53000000     -0.11113257    -0.066670599    -0.012217742
      0.54000000     -0.11274226    -0.069307778    -0.015182915
      0.55000000     -0.11427330    -0.071889916    -0.018100230
      0.56000000     -0.11571866    -0.074410270    -0.020963012
      0.57000000     -0.11707105    -0.076861866    -0.023764358
      0.58000000     -0.11832296    -0.079237505    -0.026497142
      0.59000000     -0.11946664    -0.081529752    -0.029154003
      0.60000000     -0.12049406    -0.083730932    -0.031727345
      0.61000000     -0.12139696    -0.085833118    -0.034209320
      0.62000000     -0.12216678    -0.087828125    -0.036591827
      0.63000000     -0.12279469    -0.089707503    -0.038866503
      0.64000000     -0.12327159    -0.091462527    -0.041024713
      0.65000000     -0.12358805    -0.093084190    -0.043057541
      0.66000000     -0.12373434    -0.094563191    -0.044955782
      0.67000000     -0.12370044    -0.095889929    -0.046709936
      0.68000000     -0.12347596    -0.097054488    -0.048310191
      0.69000000     -0.12305019    -0.098046634    -0.049746420
      0.70000000     -0.12241207    -0.098855797    -0.051008165
      0.71000000     -0.12155016    -0.099471066    -0.052084631
      0.72000000     -0.12045267    -0.099881172    -0.052964671
      0.73000000     -0.11910739     -0.10007448    -0.053636777
      0.74000000     -0.11750172     -0.10003898    -0.054089065
      0.75000000     -0.11562264    -0.099762259    -0.054309267
      0.76000000     -0.11345670    -0.099231506    -0.054284712
      0.77000000     -0.11098999    -0.098433489    -0.054002317
      0.78000000     -0.10820815    -0.097354540    -0.053448572
      0.79000000     -0.10509631    -0.095980541    -0.052609523
      0.80000000     -0.10163914    -0.094296911    -0.051470762
      0.81000000    -0.097820746    -0.092288585    -0.050017404
      0.82000000    -0.093624724    -0.089940002    -0.048234077
      0.83000000    -0.089034100    -0.087235083    -0.046104905
      0.84000000    -0.084031318    -0.084157216    -0.043613485
      0.85000000    -0.078598217    -0.080689234    -0.040742873
      0.86000000    -0.072716012    -0.076813398    -0.037475567
      0.87000000    -0.066365259    -0.072511374    -0.033793481
      0.88000000    -0.059525837    -0.067764214    -0.029677931
      0.89000000    -0.052176916    -0.062552330    -0.025109610
      0.90000000    -0.044296928    -0.056855471    -0.020068569
      0.91000000    -0.035863538    -0.050652704    -0.014534191
      0.92000000    -0.026853607    -0.043922380 -8.4851695E-003
      0.93000000    -0.017243157    -0.036642112 -1.8994821E-003
      0.94000000 -7.0073361E-003    -0.028788745  5.2456340E-003
      0.95000000  3.8796237E-003    -0.020338327     0.012973710
      0.96000000     0.015444452    -0.011266075     0.021309073
      0.97000000     0.027714883 -1.5463439E-003     0.030276879
      0.98000000     0.040719713  8.8474104E-003     0.039903140
      0.99000000     0.054488857     0.019942677     0.050214767
       1.0000000     0.069053370     0.031767895     0.061239571
