Results for:	RMS Wave Error vs. Field


File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\US004124276_Example03P.zmx
Title:	US 4,124,276 Example 3 (Konica Minolta 85mm F2.8 VariSoft)
Date:	11/7/2025 4:57:59 PM

0 message(s) in output.
RMS units are in waves.
Reference: Centroid.
Field units are in Millimeters.
1 series table(s) in output.

Table series: Field is oriented along the +y direction.
           Field            Poly          0.4861          0.5876          0.6563
  --------------  --------------  --------------  --------------  --------------
      0.00000000       2.3732082       2.8940946       2.1267121       1.9994157
       1.4400000       2.3982046       2.9198437       2.1491524       2.0176618
       2.8800000       2.4701830       2.9941461       2.2137549       2.0703642
       4.3200000       2.5809603       3.1088885       2.3131299       2.1519198
       5.7600000       2.7191594       3.2525168       2.4369979       2.2543653
       7.2000000       2.8722097       3.4118867       2.5739849       2.3686615
       8.6400000       3.0276695       3.5736060       2.7128039       2.4856136
       10.080000       3.1738113       3.7247366       2.8427680       2.5963362
       11.520000       3.2997218       3.8530250       2.9538614       2.6923833
       12.960000       3.3951900       3.9469069       3.0366139       2.7657051
       14.400000       3.4505783       3.9954957       3.0819496       2.8085684
       15.840000       3.4568350       3.9887631       3.0811416       2.8135499
       17.280000       3.4058454       3.9182075       3.0260432       2.7737503
       18.720000       3.2915275       3.7786088       2.9099396       2.6835053
       20.160000       3.1126115       3.5722267       2.7298715       2.5402454
       21.600000       2.8794163       3.3185776       2.4926768       2.3491241
