Results for:	Listing of Longitudinal Aberration Data


File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\US004154508_Example02P.zmx
Title:	US 4,154,508 Standard Lens 2 (Nikon Nikkor 300mm ED F4.5)
Date:	11/7/2025 3:51:23 PM

0 message(s) in output.
1 series table(s) in output.

Table series: Units are Millimeters.
      Rel. Pupil          0.4861          0.5876          0.6563
  --------------  --------------  --------------  --------------
      0.00000000      0.16035438  3.3965628E-003      0.23460153
     0.010000000      0.16035301  3.3843123E-003      0.23458673
     0.020000000      0.16034754  3.3353383E-003      0.23452755
     0.030000000      0.16033853  3.2538140E-003      0.23442901
     0.040000000      0.16032612  3.1398878E-003      0.23429127
     0.050000000      0.16031052  2.9937675E-003      0.23411454
     0.060000000      0.16029201  2.8157200E-003      0.23389908
     0.070000000      0.16027091  2.6060711E-003      0.23364522
     0.080000000      0.16024762  2.3652054E-003      0.23335335
     0.090000000      0.16022257  2.0935658E-003      0.23302392
      0.10000000      0.16019628  1.7916537E-003      0.23265743
      0.11000000      0.16016932  1.4600281E-003      0.23225445
      0.12000000      0.16014229  1.0993057E-003      0.23181560
      0.13000000      0.16011589  7.1016009E-004      0.23134156
      0.14000000      0.16009085  2.9332160E-004      0.23083306
      0.15000000      0.16006796 -1.5042340E-004      0.23029090
      0.16000000      0.16004808 -6.2023297E-004      0.22971593
      0.17000000      0.16003211 -1.1152102E-003      0.22910906
      0.18000000      0.16002100 -1.6344040E-003      0.22847124
      0.19000000      0.16001577 -2.1768095E-003      0.22780349
      0.20000000      0.16001749 -2.7413692E-003      0.22710688
      0.21000000      0.16002727 -3.3269734E-003      0.22638252
      0.22000000      0.16004629 -3.9324613E-003      0.22563161
      0.23000000      0.16007575 -4.5566219E-003      0.22485535
      0.24000000      0.16011694 -5.1981950E-003      0.22405502
      0.25000000      0.16017116 -5.8558720E-003      0.22323195
      0.26000000      0.16023977 -6.5282976E-003      0.22238751
      0.27000000      0.16032419 -7.2140703E-003      0.22152312
      0.28000000      0.16042586 -7.9117440E-003      0.22064024
      0.29000000      0.16054628 -8.6198296E-003      0.21974038
      0.30000000      0.16068699 -9.3367958E-003      0.21882509
      0.31000000      0.16084955    -0.010061071      0.21789598
      0.32000000      0.16103558    -0.010791046      0.21695466
      0.33000000      0.16124672    -0.011525071      0.21600282
      0.34000000      0.16148467    -0.012261466      0.21504216
      0.35000000      0.16175112    -0.012998513      0.21407443
      0.36000000      0.16204783    -0.013734466      0.21310141
      0.37000000      0.16237656    -0.014467547      0.21212491
      0.38000000      0.16273911    -0.015195951      0.21114675
      0.39000000      0.16313730    -0.015917851      0.21016882
      0.40000000      0.16357296    -0.016631394      0.20919299
      0.41000000      0.16404795    -0.017334709      0.20822118
      0.42000000      0.16456413    -0.018025908      0.20725532
      0.43000000      0.16512339    -0.018703089      0.20629736
      0.44000000      0.16572762    -0.019364336      0.20534925
      0.45000000      0.16637870    -0.020007729      0.20441297
      0.46000000      0.16707854    -0.020631341      0.20349050
      0.47000000      0.16782901    -0.021233244      0.20258382
      0.48000000      0.16863201    -0.021811512      0.20169491
      0.49000000      0.16948940    -0.022364226      0.20082576
      0.50000000      0.17040304    -0.022889478      0.19997833
      0.51000000      0.17137477    -0.023385374      0.19915459
      0.52000000      0.17240639    -0.023850041      0.19835649
      0.53000000      0.17349969    -0.024281628      0.19758595
      0.54000000      0.17465641    -0.024678314      0.19684486
      0.55000000      0.17587826    -0.025038313      0.19613511
      0.56000000      0.17716688    -0.025359878      0.19545852
      0.57000000      0.17852389    -0.025641310      0.19481688
      0.58000000      0.17995083    -0.025880960      0.19421195
      0.59000000      0.18144916    -0.026077238      0.19364541
      0.60000000      0.18302029    -0.026228620      0.19311890
      0.61000000      0.18466554    -0.026333655      0.19263398
      0.62000000      0.18638613    -0.026390971      0.19219213
      0.63000000      0.18818319    -0.026399286      0.19179477
      0.64000000      0.19005775    -0.026357412      0.19144322
      0.65000000      0.19201070    -0.026264269      0.19113868
      0.66000000      0.19404281    -0.026118890      0.19088228
      0.67000000      0.19615474    -0.025920433      0.19067501
      0.68000000      0.19834696    -0.025668191      0.19051773
      0.69000000      0.20061981    -0.025361601      0.19041118
      0.70000000      0.20297343    -0.025000259      0.19035592
      0.71000000      0.20540781    -0.024583929      0.19035239
      0.72000000      0.20792271    -0.024112557      0.19040083
      0.73000000      0.21051769    -0.023586283      0.19050130
      0.74000000      0.21319208    -0.023005457      0.19065366
      0.75000000      0.21594497    -0.022370652      0.19085757
      0.76000000      0.21877518    -0.021682680      0.19111245
      0.77000000      0.22168127    -0.020942611      0.19141746
      0.78000000      0.22466147    -0.020151784      0.19177154
      0.79000000      0.22771374    -0.019311833      0.19217332
      0.80000000      0.23083566    -0.018424699      0.19262113
      0.81000000      0.23402448    -0.017492657      0.19311301
      0.82000000      0.23727705    -0.016518332      0.19364663
      0.83000000      0.24058984    -0.015504723      0.19421933
      0.84000000      0.24395887    -0.014455229      0.19482806
      0.85000000      0.24737970    -0.013373672      0.19546934
      0.86000000      0.25084742    -0.012264322      0.19613929
      0.87000000      0.25435660    -0.011131929      0.19683355
      0.88000000      0.25790125 -9.9817499E-003      0.19754728
      0.89000000      0.26147482 -8.8195796E-003      0.19827512
      0.90000000      0.26507014 -7.6517847E-003      0.19901117
      0.91000000      0.26867938 -6.4853381E-003      0.19974893
      0.92000000      0.27229402 -5.3278560E-003      0.20048129
      0.93000000      0.27590481 -4.1876364E-003      0.20120047
      0.94000000      0.27950173 -3.0737007E-003      0.20189802
      0.95000000      0.28307393 -1.9958372E-003      0.20256473
      0.96000000      0.28660968 -9.6464709E-004      0.20319060
      0.97000000      0.29009635  8.4065996E-006      0.20376482
      0.98000000      0.29352029  9.1094639E-004      0.20427568
      0.99000000      0.29686686  1.7296291E-003      0.20471055
       1.0000000      0.30012028  2.4500813E-003      0.20505580
