Results for:	RMS Wave Error vs. Field


File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\US004206971_Example01P.zmx
Title:	US 4,2069,71 Example 1 (Nikon TC-14)
Date:	11/7/2025 4:58:31 PM

0 message(s) in output.
RMS units are in waves.
Reference: Centroid.
Field units are in Millimeters.
1 series table(s) in output.

Table series: Field is oriented along the +y direction.
           Field            Poly          0.4861          0.5876          0.6563
  --------------  --------------  --------------  --------------  --------------
      0.00000000       4.0918300       4.7346328       3.9274187       3.5196381
       1.4400000       4.0905195       4.7331104       3.9261609       3.5185128
       2.8800000       4.0866020       4.7285596       3.9224008       3.5151485
       4.3200000       4.0801187       4.7210283       3.9161779       3.5095803
       5.7600000       4.0711384       4.7105973       3.9075580       3.5018672
       7.2000000       4.0597580       4.6973797       3.8966338       3.4920914
       8.6400000       4.0461022       4.6815214       3.8835247       3.4803595
       10.080000       4.0303250       4.6632023       3.8683779       3.4668026
       11.520000       4.0126096       4.6426369       3.8513688       3.4515769
       12.960000       3.9931704       4.6200761       3.8327028       3.4348653
       14.400000       3.9722548       4.5958094       3.8126165       3.4168786
       15.840000       3.9501458       4.5701681       3.7913809       3.3978580
       17.280000       3.9271659       4.5435302       3.7693050       3.3780788
       18.720000       3.9036824       4.5163266       3.7467410       3.3578544
       20.160000       3.8801148       4.4890498       3.7240915       3.3375431
       21.600000       3.8569445       4.4622661       3.7018191       3.3175568
