Results for:	RMS Wave Error vs. Field


File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\US004214816_Example01P.zmx
Title:	US 4,214,816 Example 1 (Konica Minolta 135mm F2.8 MD)
Date:	11/7/2025 4:58:36 PM

0 message(s) in output.
RMS units are in waves.
Reference: Centroid.
Field units are in Millimeters.
1 series table(s) in output.

Table series: Field is oriented along the +y direction.
           Field            Poly          0.4861          0.5876          0.6563
  --------------  --------------  --------------  --------------  --------------
      0.00000000      0.65077921      0.86641980      0.31149407      0.65025297
       1.4400000      0.65701930      0.86941607      0.31573801      0.65232889
       2.8800000      0.67499722      0.87783066      0.32754709      0.65861661
       4.3200000      0.70272197      0.89005738      0.34454095      0.66931543
       5.7600000      0.73752843      0.90377455      0.36373840      0.68482355
       7.2000000      0.77672967      0.91639161      0.38238832      0.70584048
       8.6400000      0.81818325      0.92558079      0.39862822      0.73351082
       10.080000      0.86076570      0.92991743      0.41214718      0.76959514
       11.520000      0.90482612      0.92972788      0.42509306      0.81663372
       12.960000      0.95266933      0.92828159      0.44325807      0.87804666
       14.400000       1.0090231      0.93334858      0.47689846      0.95810748
       15.840000       1.0812941      0.95860021      0.53956469       1.0617563
       17.280000       1.1792891       1.0232165      0.64419042       1.1942855
       18.720000       1.3141705       1.1478165      0.79948013       1.3609963
       20.160000       1.4968793       1.3482901       1.0099234       1.5669373
       21.600000       1.7367603       1.6329180       1.2779975       1.8167805
