Results for:	Relative Illumination Data


File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\US004214816_Example01P.zmx
Title:	US 4,214,816 Example 1 (Konica Minolta 135mm F2.8 MD)
Date:	11/7/2025 4:17:40 PM

0 message(s) in output.
Wavelength: 0.587562 µm
Field values are in Millimeters
Relative Illumination values are dimensionless.
1 series table(s) in output.

Table series: See program documentation for a discussion of Effective F/#.
         Y Field        Rel. Ill   Effective F/#
  --------------  --------------  --------------
      0.00000000       1.0000000       2.9317769
       1.0800000      0.99976514       2.9321213
       2.1600000      0.99906154       2.9331536
       3.2400000      0.99221382       2.9432577
       4.3200000      0.98352245       2.9562339
       5.4000000      0.97934275       2.9625355
       6.4800000      0.97370726       2.9710962
       7.5600000      0.94801327       3.0110899
       8.6400000      0.89902159       3.0920454
       9.7200000      0.87497603       3.1342443
       10.800000      0.82423852       3.2292709
       11.880000      0.78592413       3.3070489
       12.960000      0.74475169       3.3972318
       14.040000      0.71119615       3.4764519
       15.120000      0.66864305       3.5853682
       16.200000      0.62810363       3.6992636
       17.280000      0.56733324       3.8923493
       18.360000      0.52028061       4.0645466
       19.440000      0.49007479       4.1879332
       20.520000      0.43208521       4.4601167
       21.600000      0.41195525       4.5677876
