Results for:	RMS Wave Error vs. Field


File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\US004234242_Example03_Tale60.zmx
Title:	Nikon AI Nikkor 50mm f/1.8S (US 4,234,242 Example 3)
Date:	11/7/2025 4:58:37 PM

0 message(s) in output.
RMS units are in waves.
Reference: Centroid.
Field units are in Millimeters.
1 series table(s) in output.

Table series: Field is oriented along the +y direction.
           Field            Poly          0.4861          0.5876          0.6563
  --------------  --------------  --------------  --------------  --------------
      0.00000000       2.2352969       2.9631671       2.1762293       1.2138055
       1.4400000       2.2418063       2.9691749       2.1796019       1.2259519
       2.8800000       2.2624525       2.9876449       2.1909690       1.2651655
       4.3200000       2.3009338       3.0204308       2.2144178       1.3393486
       5.7600000       2.3645948       3.0724147       2.2579264       1.4603448
       7.2000000       2.4662004       3.1543827       2.3351017       1.6423688
       8.6400000       2.6260356       3.2870075       2.4671718       1.9008126
       10.080000       2.8733051       3.5048561       2.6840635       2.2520620
       11.520000       3.2455001       3.8579110       3.0231229       2.7142723
       12.960000       3.7855428       4.4080141       3.5255254       3.3086119
       14.400000       4.5387946       5.2214547       4.2330538       4.0606785
       15.840000       5.5527710       6.3638895       5.1882886       5.0022279
       17.280000       6.8804887       7.9025291       6.4385771       6.1735796
       18.720000       8.5863552       9.9143686       8.0421416       7.6270455
       20.160000       10.753405       12.496728       10.075051       9.4315947
       21.600000       13.491497       15.778262       12.638847       11.678826
