Results for:	Listing of Longitudinal Aberration Data


File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\US004293197_Example01P.zmx
Title:	US 4,293,197 Example 1 (Ricoh smc Pentax-M 300mm F4)
Date:	11/7/2025 3:51:42 PM

0 message(s) in output.
1 series table(s) in output.

Table series: Units are Millimeters.
      Rel. Pupil          0.4861          0.5876          0.6563
  --------------  --------------  --------------  --------------
      0.00000000      0.25522994  1.2795651E-004      0.29908682
     0.010000000      0.25522793  1.2212281E-004      0.29908347
     0.020000000      0.25521993  9.8858900E-005      0.29907016
     0.030000000      0.25520683  6.0337759E-005      0.29904823
     0.040000000      0.25518892  6.9373186E-006      0.29901812
     0.050000000      0.25516666 -6.0813576E-005      0.29898040
     0.060000000      0.25514063 -1.4223543E-004      0.29893580
     0.070000000      0.25511152 -2.3649845E-004      0.29888523
     0.080000000      0.25508015 -3.4262295E-004      0.29882975
     0.090000000      0.25504748 -4.5947986E-004      0.29877062
      0.10000000      0.25501457 -5.8579135E-004      0.29870920
      0.11000000      0.25498263 -7.2013146E-004      0.29864708
      0.12000000      0.25495297 -8.6092693E-004      0.29858596
      0.13000000      0.25492703 -1.0064581E-003      0.29852773
      0.14000000      0.25490635 -1.1548597E-003      0.29847442
      0.15000000      0.25489262 -1.3041223E-003      0.29842826
      0.16000000      0.25488762 -1.4520932E-003      0.29839158
      0.17000000      0.25489323 -1.5964781E-003      0.29836693
      0.18000000      0.25491148 -1.7348422E-003      0.29835696
      0.19000000      0.25494448 -1.8646122E-003      0.29836453
      0.20000000      0.25499444 -1.9830778E-003      0.29839260
      0.21000000      0.25506368 -2.0873941E-003      0.29844434
      0.22000000      0.25515463 -2.1745831E-003      0.29852303
      0.23000000      0.25526979 -2.2415367E-003      0.29863211
      0.24000000      0.25541177 -2.2850187E-003      0.29877517
      0.25000000      0.25558326 -2.3016682E-003      0.29895596
      0.26000000      0.25578703 -2.2880019E-003      0.29917836
      0.27000000      0.25602593 -2.2404180E-003      0.29944638
      0.28000000      0.25630286 -2.1551997E-003      0.29976420
      0.29000000      0.25662083 -2.0285186E-003      0.30013610
      0.30000000      0.25698287 -1.8564396E-003      0.30056652
      0.31000000      0.25739208 -1.6349250E-003      0.30106002
      0.32000000      0.25785160 -1.3598399E-003      0.30162128
      0.33000000      0.25836460 -1.0269571E-003      0.30225510
      0.34000000      0.25893430 -6.3196345E-004      0.30296640
      0.35000000      0.25956392 -1.7046577E-004      0.30376022
      0.36000000      0.26025670  3.6200192E-004      0.30464170
      0.37000000      0.26101587  9.6997114E-004      0.30561607
      0.38000000      0.26184466  1.6580308E-003      0.30668866
      0.39000000      0.26274626  2.4308184E-003      0.30786488
      0.40000000      0.26372385  3.2930108E-003      0.30915024
      0.41000000      0.26478053  4.2493135E-003      0.31055030
      0.42000000      0.26591934  5.3044498E-003      0.31207068
      0.43000000      0.26714325  6.4631488E-003      0.31371706
      0.44000000      0.26845511  7.7301322E-003      0.31549517
      0.45000000      0.26985765  9.1101001E-003      0.31741074
      0.46000000      0.27135347     0.010607716      0.31946953
      0.47000000      0.27294501     0.012227589      0.32167733
      0.48000000      0.27463449     0.013974257      0.32403986
      0.49000000      0.27642395     0.015852168      0.32656287
      0.50000000      0.27831517     0.017865657      0.32925202
      0.51000000      0.28030966     0.020018923      0.33211292
      0.52000000      0.28240862     0.022316005      0.33515110
      0.53000000      0.28461291     0.024760756      0.33837197
      0.54000000      0.28692300     0.027356812      0.34178080
      0.55000000      0.28933894     0.030107559      0.34538270
      0.56000000      0.29186033     0.033016103      0.34918261
      0.57000000      0.29448623     0.036085227      0.35318521
      0.58000000      0.29721512     0.039317352      0.35739495
      0.59000000      0.30004488     0.042714493      0.36181596
      0.60000000      0.30297269     0.046278216      0.36645205
      0.61000000      0.30599494     0.050009576      0.37130665
      0.62000000      0.30910724     0.053909063      0.37638272
      0.63000000      0.31230423     0.057976541      0.38168278
      0.64000000      0.31557959     0.062211182      0.38720876
      0.65000000      0.31892588     0.066611387      0.39296202
      0.66000000      0.32233447     0.071174707      0.39894319
      0.67000000      0.32579541     0.075897758      0.40515219
      0.68000000      0.32929733     0.080776119      0.41158807
      0.69000000      0.33282728     0.085804229      0.41824895
      0.70000000      0.33637058     0.090975272      0.42513190
      0.71000000      0.33991068     0.096281050      0.43223287
      0.72000000      0.34342900      0.10171184      0.43954651
      0.73000000      0.34690468      0.10725626      0.44706611
      0.74000000      0.35031443      0.11290107      0.45478335
      0.75000000      0.35363226      0.11863101      0.46268825
      0.76000000      0.35682924      0.12442860      0.47076892
      0.77000000      0.35987321      0.13027392      0.47901138
      0.78000000      0.36272850      0.13614433      0.48739936
      0.79000000      0.36535556      0.14201426      0.49591403
      0.80000000      0.36771058      0.14785485      0.50453377
      0.81000000      0.36974513      0.15363366      0.51323386
      0.82000000      0.37140563      0.15931428      0.52198615
      0.83000000      0.37263289      0.16485596      0.53075872
      0.84000000      0.37336153      0.17021311      0.53951546
      0.85000000      0.37351935      0.17533483      0.54821563
      0.86000000      0.37302665      0.18016435      0.55681338
      0.87000000      0.37179543      0.18463840      0.56525718
      0.88000000      0.36972854      0.18868653      0.57348921
      0.89000000      0.36671868      0.19223030      0.58144466
      0.90000000      0.36264734      0.19518244      0.58905100
      0.91000000      0.35738358      0.19744586      0.59622703
      0.92000000      0.35078261      0.19891254      0.60288197
      0.93000000      0.34268425      0.19946230      0.60891432
      0.94000000      0.33291122      0.19896138      0.61421065
      0.95000000      0.32126705      0.19726089      0.61864414
      0.96000000      0.30753391      0.19419492      0.62207301
      0.97000000      0.29146995      0.18957859      0.62433868
      0.98000000      0.27280640      0.18320563      0.62526374
      0.99000000      0.25124413      0.17484570      0.62464948
       1.0000000      0.22644987      0.16424136      0.62227327
