Results for:	RMS Wave Error vs. Field


File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\US004514051_ExampleML02P.zmx
Title:	US 4,514,051 Example ML 2 (Nikon AI Nikkor 50mm f/1.8)
Date:	11/7/2025 4:59:42 PM

0 message(s) in output.
RMS units are in waves.
Reference: Centroid.
Field units are in Millimeters.
1 series table(s) in output.

Table series: Field is oriented along the +y direction.
           Field            Poly          0.4861          0.5876          0.6563
  --------------  --------------  --------------  --------------  --------------
      0.00000000       2.2395072       3.0415473       2.1354949       1.1112285
       1.4400000       2.2237981       3.0254791       2.1172100       1.0939487
       2.8800000       2.1795013       2.9789488       2.0652257       1.0484105
       4.3200000       2.1152348       2.9068671       1.9884282      0.99537397
       5.7600000       2.0456623       2.8170787       1.9024497      0.97333416
       7.2000000       1.9914390       2.7200511       1.8303630       1.0321862
       8.6400000       1.9779966       2.6290800       1.8019404       1.2062629
       10.080000       2.0325260       2.5622148       1.8494364       1.4955716
       11.520000       2.1806208       2.5478550       2.0006201       1.8830312
       12.960000       2.4468710       2.6352453       2.2761031       2.3568924
       14.400000       2.8621287       2.9052984       2.6970732       2.9202244
       15.840000       3.4739918       3.4681632       3.2987265       3.5952635
       17.280000       4.3542132       4.4435993       4.1404445       4.4277332
       18.720000       5.6002654       5.9487181       5.3092202       5.4907285
       20.160000       7.3334259       8.1078654       6.9182692       6.8862269
       21.600000       9.6976444       11.068977       9.1048356       8.7435744
