Results for:	
File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\US004550987_Example01P.zmx
Title:	US 4,550,987 Example 1 (Ricoh smc Pentax-A 200mm F4)
Date:	11/7/2025 5:38:13 PM

0 message(s) in output.
3 series table(s) in output.

Table series: Data for wavelength : 0.486133 µm.
   Y Angle (deg)       Tan Shift       Sag Shift     Real Height     Ref. Height      Distortion
  --------------  --------------  --------------  --------------  --------------  --------------
      0.00000000    -0.073107080    -0.073107080      0.00000000      0.00000000      0.00000000
     0.062602509    -0.073119408    -0.073114343      0.21313901      0.21313878  1.0962648E-004
      0.12520502    -0.073157749    -0.073136125      0.42627984      0.42627807  4.1496815E-004
      0.18780753    -0.073222038    -0.073172410      0.63942428      0.63941837  9.2384714E-004
      0.25041004    -0.073312171    -0.073223171      0.85257416      0.85256021  1.6362278E-003
      0.31301254    -0.073427999    -0.073288368       1.0657313       1.0657041  2.5520600E-003
      0.37561505    -0.073569332    -0.073367950       1.2788974       1.2788505  3.6712795E-003
      0.43821756    -0.073735935    -0.073461858       1.4920745       1.4920000  4.9938075E-003
      0.50082007    -0.073927532    -0.073570017       1.7052642       1.7051530  6.5195564E-003
      0.56342258    -0.074143807    -0.073692345       1.9184683       1.9183101  8.2484074E-003
      0.62602509    -0.074384397    -0.073828747       2.1316888       2.1314718     0.010180244
      0.68862760    -0.074648900    -0.073979116       2.3449273       2.3446385     0.012314929
      0.75123011    -0.074936873    -0.074143336       2.5581857       2.5578109     0.014652311
      0.81383262    -0.075247829    -0.074321278       2.7714658       2.7709894     0.017192223
      0.87643513    -0.075581241    -0.074512802       2.9847694       2.9841745     0.019934485
      0.93903763    -0.075936539    -0.074717757       3.1980982       3.1973667     0.022878899
       1.0016401    -0.076313115    -0.074935981       3.4114542       3.4105666     0.026025254
       1.0642427    -0.076710318    -0.075167300       3.6248390       3.6237746     0.029373324
       1.1268452    -0.077127456    -0.075411530       3.8382545       3.8369912     0.032922865
       1.1894477    -0.077563800    -0.075668474       4.0517024       4.0502171     0.036673621
       1.2520502    -0.078018578    -0.075937925       4.2651846       4.2634526     0.040625316
       1.3146527    -0.078490980    -0.076219663       4.4787028       4.4766982     0.044777662
       1.3772552    -0.078980158    -0.076513459       4.6922588       4.6899546     0.049130352
       1.4398577    -0.079485224    -0.076819070       4.9058544       4.9032222     0.053683065
       1.5024602    -0.080005252    -0.077136243       5.1194913       5.1165015     0.058435461
       1.5650627    -0.080539278    -0.077464714       5.3331714       5.3297930     0.063387185
       1.6276652    -0.081086302    -0.077804205       5.5468964       5.5430973     0.068537865
       1.6902677    -0.081645287    -0.078154429       5.7606680       5.7564148     0.073887110
       1.7528703    -0.082215158    -0.078515087       5.9744881       5.9697460     0.079434514
       1.8154728    -0.082794809    -0.078885867       6.1883583       6.1830916     0.085179651
       1.8780753    -0.083383093    -0.079266446       6.4022804       6.3964519     0.091122078
       1.9406778    -0.083978834    -0.079656490       6.6162563       6.6098275     0.097261334
       2.0032803    -0.084580820    -0.080055651       6.8302875       6.8232189      0.10359694
       2.0658828    -0.085187806    -0.080463573       7.0443759       7.0366266      0.11012839
