Results for:	Relative Illumination Data


File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\US004560253_Example02P.zmx
Title:	US 4,560,253 Example 2 (Konica Minolta AF 35-70mm F4)
Date:	11/7/2025 4:18:18 PM

0 message(s) in output.
Wavelength: 0.587562 µm
Field values are in Millimeters
Relative Illumination values are dimensionless.
1 series table(s) in output.

Table series: See program documentation for a discussion of Effective F/#.
         Y Field        Rel. Ill   Effective F/#
  --------------  --------------  --------------
      0.00000000       1.0000000       4.2738827
       1.0800000      0.99946317       4.2750304
       2.1600000      0.99785464       4.2784746
       3.2400000      0.99080952       4.2936587
       4.3200000      0.98715552       4.3015979
       5.4000000      0.98246601       4.3118519
       6.4800000      0.97675872       4.3244308
       7.5600000      0.96997875       4.3395180
       8.6400000      0.96231362       4.3567665
       9.7200000      0.95351746       4.3768159
       10.800000      0.93870389       4.4112157
       11.880000      0.92830379       4.4358570
       12.960000      0.91706485       4.4629557
       14.040000      0.90490392       4.4928443
       15.120000      0.89199951       4.5252262
       16.200000      0.87641320       4.5652876
       17.280000      0.86113978       4.6055953
       18.360000      0.84637157       4.6456027
       19.440000      0.83102015       4.6883154
       20.520000      0.81044102       4.7474663
       21.600000      0.78595369       4.8208556
