Results for:	Relative Illumination Data


File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\US004764000_Example08P.zmx
Title:	US 4,764,000 Example 8 (Konica Minolta AF 100mm F2.8 Macro)
Date:	11/7/2025 4:18:29 PM

0 message(s) in output.
Wavelength: 0.587562 µm
Field values are in Millimeters
Relative Illumination values are dimensionless.
1 series table(s) in output.

Table series: See program documentation for a discussion of Effective F/#.
         Y Field        Rel. Ill   Effective F/#
  --------------  --------------  --------------
      0.00000000       1.0000000       2.9674219
       1.0800000      0.99382591       2.9766251
       2.1600000      0.99231375       2.9788923
       3.2400000      0.98307832       2.9928520
       4.3200000      0.97990727       2.9976907
       5.4000000      0.95531845       3.0360241
       6.4800000      0.93019653       3.0767481
       7.5600000      0.90521868       3.1189079
       8.6400000      0.89368926       3.1389618
       9.7200000      0.88165065       3.1603198
       10.800000      0.86946767       3.1823840
       11.880000      0.83941095       3.2388586
       12.960000      0.79076097       3.3370037
       14.040000      0.72944712       3.4744206
       15.120000      0.66324935       3.6436855
       16.200000      0.62032341       3.7676471
       17.280000      0.54956575       4.0028515
       18.360000      0.50384746       4.1805148
       19.440000      0.42207691       4.5675521
       20.520000      0.36397428       4.9186278
       21.600000      0.28525888       5.5559678
