Results for:	RMS Wave Error vs. Field


File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\US004826301_Example04P.zmx
Title:	US 4,826,301 Example 4 (Canon EF135mm f2.8 Soft Focus)
Date:	11/7/2025 5:00:19 PM

0 message(s) in output.
RMS units are in waves.
Reference: Centroid.
Field units are in Millimeters.
1 series table(s) in output.

Table series: Field is oriented along the +y direction.
           Field            Poly          0.4861          0.5876          0.6563
  --------------  --------------  --------------  --------------  --------------
      0.00000000      0.30533577      0.20364214      0.14136767      0.46715613
       1.4400000      0.30755035      0.20910904      0.14499348      0.46246481
       2.8800000      0.31466730      0.22558300      0.15652726      0.44855812
       4.3200000      0.32793123      0.25312375      0.17739308      0.42594817
       5.7600000      0.34887840      0.29147053      0.20869478      0.39552785
       7.2000000      0.37872011      0.33985565      0.25057877      0.35865054
       8.6400000      0.41786141      0.39699627      0.30232813      0.31729772
       10.080000      0.46575565      0.46117552      0.36274864      0.27443006
       11.520000      0.52107812      0.53035375      0.43050178      0.23468500
       12.960000      0.58207671      0.60233468      0.50436470      0.20540756
       14.400000      0.64702488      0.67509233      0.58353332      0.19647185
       15.840000      0.71486375      0.74747569      0.66811441      0.21545533
       17.280000      0.78629623      0.82070620      0.75998845      0.26299717
       18.720000      0.86577963      0.90138047      0.86427922      0.33835127
       20.160000      0.96496216       1.0067966      0.99166545      0.44696791
       21.600000       1.1076708       1.1721918       1.1615584      0.60308600
