Results for:	Relative Illumination Data


File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\US004904070_Example01P.zmx
Title:	US 4,904,070 Example 1 (Ricoh smc PENTAX-FA 600mm F4ED[IF])
Date:	11/7/2025 4:18:37 PM

0 message(s) in output.
Wavelength: 0.587562 µm
Field values are in Millimeters
Relative Illumination values are dimensionless.
1 series table(s) in output.

Table series: See program documentation for a discussion of Effective F/#.
         Y Field        Rel. Ill   Effective F/#
  --------------  --------------  --------------
      0.00000000       1.0000000       4.2003247
       1.0800000      0.99278169       4.2155668
       2.1600000      0.97801260       4.2472775
       3.2400000      0.96108037       4.2845282
       4.3200000      0.92449914       4.3684725
       5.4000000      0.90369991       4.4184581
       6.4800000      0.89287908       4.4451512
       7.5600000      0.87636248       4.4868440
       8.6400000      0.84393853       4.5722235
       9.7200000      0.81484724       4.6531255
       10.800000      0.80426554       4.6836359
       11.880000      0.77912171       4.7586110
       12.960000      0.75869260       4.8222524
       14.040000      0.72072004       4.9476567
       15.120000      0.71073437       4.9822923
       16.200000      0.68758126       5.0654828
       17.280000      0.66872475       5.1364039
       18.360000      0.63099003       5.2877585
       19.440000      0.60999785       5.3779741
       20.520000      0.59287606       5.4550772
       21.600000      0.57184107       5.5545028
