Results for:	Listing of Longitudinal Aberration Data


File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\US005000550_Example01P.zmx
Title:	US 5,000,550 Example 1 (Canon EF20-35mm f2.8L)
Date:	11/7/2025 3:52:26 PM

0 message(s) in output.
1 series table(s) in output.

Table series: Units are Millimeters.
      Rel. Pupil          0.4861          0.5876          0.6563
  --------------  --------------  --------------  --------------
      0.00000000    -0.082604949  3.9792094E-005     0.073286139
     0.010000000    -0.082634736  3.5239158E-006     0.073247308
     0.020000000    -0.082753855 -1.4151930E-004     0.073092013
     0.030000000    -0.082952282 -3.8315393E-004     0.072833291
     0.040000000    -0.083229860 -7.2122360E-004     0.072471299
     0.050000000    -0.083586368 -1.1555094E-003     0.072006255
     0.060000000    -0.084021523 -1.6857297E-003     0.071438439
     0.070000000    -0.084534978 -2.3115399E-003     0.070768195
     0.080000000    -0.085126322 -3.0325325E-003     0.069995929
     0.090000000    -0.085795083 -3.8482366E-003     0.069122112
      0.10000000    -0.086540721 -4.7581181E-003     0.068147274
      0.11000000    -0.087362637 -5.7615788E-003     0.067072013
      0.12000000    -0.088260163 -6.8579568E-003     0.065896989
      0.13000000    -0.089232568 -8.0465257E-003     0.064622926
      0.14000000    -0.090279057 -9.3264944E-003     0.063250612
      0.15000000    -0.091398769    -0.010697007     0.061780901
      0.16000000    -0.092590775    -0.012157141     0.060214713
      0.17000000    -0.093854083    -0.013705909     0.058553032
      0.18000000    -0.095187632    -0.015342258     0.056796910
      0.19000000    -0.096590295    -0.017065065     0.054947464
      0.20000000    -0.098060876    -0.018873142     0.053005880
      0.21000000    -0.099598112    -0.020765232     0.050973411
      0.22000000     -0.10120067    -0.022740010     0.048851380
      0.23000000     -0.10286715    -0.024796080     0.046641177
      0.24000000     -0.10459607    -0.026931978     0.044344266
      0.25000000     -0.10638590    -0.029146165     0.041962177
      0.26000000     -0.10823501    -0.031437036     0.039496514
      0.27000000     -0.11014172    -0.033802908     0.036948955
      0.28000000     -0.11210426    -0.036242028     0.034321249
      0.29000000     -0.11412081    -0.038752568     0.031615220
      0.30000000     -0.11618945    -0.041332624     0.028832767
      0.31000000     -0.11830818    -0.043980216     0.025975865
      0.32000000     -0.12047495    -0.046693288     0.023046567
      0.33000000     -0.12268761    -0.049469702     0.020047005
      0.34000000     -0.12494394    -0.052307244     0.016979388
      0.35000000     -0.12724164    -0.055203618     0.013846009
      0.36000000     -0.12957831    -0.058156445     0.010649240
      0.37000000     -0.13195150    -0.061163265  7.3915386E-003
      0.38000000     -0.13435864    -0.064221532  4.0754460E-003
      0.39000000     -0.13679711    -0.067328612  7.0358973E-004
      0.40000000     -0.13926417    -0.070481787 -2.7213152E-003
      0.41000000     -0.14175701    -0.073678248 -6.1964645E-003
      0.42000000     -0.14427272    -0.076915096 -9.7189634E-003
      0.43000000     -0.14680832    -0.080189338    -0.013285824
      0.44000000     -0.14936071    -0.083497890    -0.016893966
      0.45000000     -0.15192671    -0.086837569    -0.020540211
      0.46000000     -0.15450303    -0.090205098    -0.024221285
      0.47000000     -0.15708630    -0.093597100    -0.027933814
      0.48000000     -0.15967304    -0.097010090    -0.031674317
      0.49000000     -0.16225967     -0.10044049    -0.035439215
      0.50000000     -0.16484249     -0.10388460    -0.039224824
      0.51000000     -0.16741772     -0.10733864    -0.043027348
      0.52000000     -0.16998145     -0.11079868    -0.046842882
      0.53000000     -0.17252968     -0.11426073    -0.050667407
      0.54000000     -0.17505827     -0.11772063    -0.054496790
      0.55000000     -0.17756298     -0.12117414    -0.058326783
      0.56000000     -0.18003945     -0.12461688    -0.062153005
      0.57000000     -0.18248321     -0.12804435    -0.065970964
      0.58000000     -0.18488964     -0.13145194    -0.069776034
      0.59000000     -0.18725401     -0.13483489    -0.073563465
      0.60000000     -0.18957146     -0.13818832    -0.077328370
      0.61000000     -0.19183700     -0.14150721    -0.081065726
      0.62000000     -0.19404549     -0.14478640    -0.084770374
      0.63000000     -0.19619168     -0.14802059    -0.088437008
      0.64000000     -0.19827014     -0.15120435    -0.092060177
      0.65000000     -0.20027533     -0.15433206    -0.095634280
      0.66000000     -0.20220154     -0.15739800    -0.099153562
      0.67000000     -0.20404290     -0.16039624     -0.10261211
      0.68000000     -0.20579340     -0.16332073     -0.10600384
      0.69000000     -0.20744688     -0.16616523     -0.10932252
      0.70000000     -0.20899697     -0.16892334     -0.11256172
      0.71000000     -0.21043718     -0.17158848     -0.11571486
      0.72000000     -0.21176082     -0.17415390     -0.11877516
      0.73000000     -0.21296103     -0.17661266     -0.12173566
      0.74000000     -0.21403075     -0.17895762     -0.12458922
      0.75000000     -0.21496276     -0.18118146     -0.12732848
      0.76000000     -0.21574962     -0.18327664     -0.12994588
      0.77000000     -0.21638372     -0.18523545     -0.13243368
      0.78000000     -0.21685721     -0.18704993     -0.13478389
      0.79000000     -0.21716205     -0.18871191     -0.13698832
      0.80000000     -0.21729000     -0.19021301     -0.13903853
      0.81000000     -0.21723256     -0.19154460     -0.14092588
      0.82000000     -0.21698104     -0.19269783     -0.14264146
      0.83000000     -0.21652649     -0.19366358     -0.14417611
      0.84000000     -0.21585972     -0.19443249     -0.14552042
      0.85000000     -0.21497130     -0.19499494     -0.14666473
      0.86000000     -0.21385154     -0.19534103     -0.14759907
      0.87000000     -0.21249048     -0.19546060     -0.14831321
      0.88000000     -0.21087790     -0.19534318     -0.14879663
      0.89000000     -0.20900329     -0.19497802     -0.14903851
      0.90000000     -0.20685586     -0.19435405     -0.14902769
      0.91000000     -0.20442450     -0.19345990     -0.14875273
      0.92000000     -0.20169782     -0.19228385     -0.14820183
      0.93000000     -0.19866410     -0.19081388     -0.14736285
      0.94000000     -0.19531130     -0.18903758     -0.14622330
      0.95000000     -0.19162703     -0.18694221     -0.14477032
      0.96000000     -0.18759856     -0.18451465     -0.14299067
      0.97000000     -0.18321281     -0.18174138     -0.14087072
      0.98000000     -0.17845631     -0.17860850     -0.13839643
      0.99000000     -0.17331523     -0.17510169     -0.13555333
       1.0000000     -0.16777533     -0.17120621     -0.13232654
