Results for:	Listing of Longitudinal Aberration Data


File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\US005144488_Example01P.zmx
Title:	US 5,144,488 Example 1 (Canon EF35-135mm f4-5.6 USM)
Date:	11/7/2025 3:52:27 PM

0 message(s) in output.
1 series table(s) in output.

Table series: Units are Millimeters.
      Rel. Pupil          0.4861          0.5876          0.6563
  --------------  --------------  --------------  --------------
      0.00000000    -0.086979627 -1.6349391E-003      0.11185495
     0.010000000    -0.087016221 -1.6833509E-003      0.11180285
     0.020000000    -0.087162541 -1.8769468E-003      0.11159451
     0.030000000    -0.087406217 -2.1994252E-003      0.11124745
     0.040000000    -0.087746956 -2.6505129E-003      0.11076194
     0.050000000    -0.088184355 -3.2298293E-003      0.11013836
     0.060000000    -0.088717891 -3.9368833E-003      0.10937719
     0.070000000    -0.089346927 -4.7710746E-003      0.10847901
     0.080000000    -0.090070708 -5.7316938E-003      0.10744452
     0.090000000    -0.090888364 -6.8179213E-003      0.10627453
      0.10000000    -0.091798906 -8.0288277E-003      0.10496995
      0.11000000    -0.092801229 -9.3633733E-003      0.10353180
      0.12000000    -0.093894109    -0.010820408      0.10196120
      0.13000000    -0.095076205    -0.012398670      0.10025940
      0.14000000    -0.096346057    -0.014096786     0.098427748
      0.15000000    -0.097702086    -0.015913273     0.096467690
      0.16000000    -0.099142592    -0.017846534     0.094380798
      0.17000000     -0.10066576    -0.019894859     0.092168748
      0.18000000     -0.10226964    -0.022056426     0.089833329
      0.19000000     -0.10395218    -0.024329297     0.087376439
      0.20000000     -0.10571120    -0.026711423     0.084800090
      0.21000000     -0.10754438    -0.029200637     0.082106407
      0.22000000     -0.10944930    -0.031794658     0.079297627
      0.23000000     -0.11142339    -0.034491087     0.076376102
      0.24000000     -0.11346399    -0.037287408     0.073344297
      0.25000000     -0.11556828    -0.040180990     0.070204795
      0.26000000     -0.11773332    -0.043169078     0.066960294
      0.27000000     -0.11995606    -0.046248802     0.063613608
      0.28000000     -0.12223330    -0.049417169     0.060167670
      0.29000000     -0.12456171    -0.052671065     0.056625532
      0.30000000     -0.12693784    -0.056007253     0.052990366
      0.31000000     -0.12935810    -0.059422373     0.049265463
      0.32000000     -0.13181876    -0.062912939     0.045454238
      0.33000000     -0.13431597    -0.066475341     0.041560227
      0.34000000     -0.13684573    -0.070105841     0.037587090
      0.35000000     -0.13940390    -0.073800573     0.033538614
      0.36000000     -0.14198620    -0.077555541     0.029418710
      0.37000000     -0.14458822    -0.081366619     0.025231418
      0.38000000     -0.14720540    -0.085229547     0.020980905
      0.39000000     -0.14983302    -0.089139934     0.016671470
      0.40000000     -0.15246623    -0.093093252     0.012307543
      0.41000000     -0.15510003    -0.097084836  7.8936861E-003
      0.42000000     -0.15772926     -0.10110988  3.4345970E-003
      0.43000000     -0.16034862     -0.10516345 -1.0648914E-003
      0.44000000     -0.16295264     -0.10924046 -5.5998084E-003
      0.45000000     -0.16553570     -0.11333568    -0.010165048
      0.46000000     -0.16809203     -0.11744373    -0.014755350
      0.47000000     -0.17061567     -0.12155910    -0.019365327
      0.48000000     -0.17310053     -0.12567612    -0.023989439
      0.49000000     -0.17554034     -0.12978896    -0.028622002
      0.50000000     -0.17792864     -0.13389166    -0.033257184
      0.51000000     -0.18025884     -0.13797808    -0.037888999
      0.52000000     -0.18252413     -0.14204193    -0.042511311
      0.53000000     -0.18471755     -0.14607678    -0.047117831
      0.54000000     -0.18683197     -0.15007600    -0.051702108
      0.55000000     -0.18886003     -0.15403282    -0.056257536
      0.56000000     -0.19079424     -0.15794031    -0.060777344
      0.57000000     -0.19262687     -0.16179134    -0.065254604
      0.58000000     -0.19435004     -0.16557863    -0.069682204
      0.59000000     -0.19595563     -0.16929472    -0.074052879
      0.60000000     -0.19743534     -0.17293196    -0.078359184
      0.61000000     -0.19878068     -0.17648252    -0.082593501
      0.62000000     -0.19998292     -0.17993841    -0.086748033
      0.63000000     -0.20103314     -0.18329141    -0.090814799
      0.64000000     -0.20192219     -0.18653313    -0.094785635
      0.65000000     -0.20264071     -0.18965499    -0.098652190
      0.66000000     -0.20317909     -0.19264820     -0.10240592
      0.67000000     -0.20352751     -0.19550375     -0.10603808
      0.68000000     -0.20367590     -0.19821246     -0.10953974
      0.69000000     -0.20361396     -0.20076491     -0.11290175
      0.70000000     -0.20333113     -0.20315146     -0.11611476
      0.71000000     -0.20281661     -0.20536227     -0.11916922
      0.72000000     -0.20205933     -0.20738726     -0.12205534
      0.73000000     -0.20104795     -0.20921611     -0.12476313
      0.74000000     -0.19977087     -0.21083828     -0.12728236
      0.75000000     -0.19821620     -0.21224298     -0.12960259
      0.76000000     -0.19637177     -0.21341918     -0.13171311
      0.77000000     -0.19422511     -0.21435559     -0.13360301
      0.78000000     -0.19176347     -0.21504066     -0.13526110
      0.79000000     -0.18897376     -0.21546257     -0.13667595
      0.80000000     -0.18584259     -0.21560923     -0.13783587
      0.81000000     -0.18235624     -0.21546828     -0.13872891
      0.82000000     -0.17850065     -0.21502706     -0.13934285
      0.83000000     -0.17426142     -0.21427262     -0.13966516
      0.84000000     -0.16962380     -0.21319171     -0.13968307
      0.85000000     -0.16457265     -0.21177075     -0.13938347
      0.86000000     -0.15909248     -0.20999587     -0.13875299
      0.87000000     -0.15316739     -0.20785285     -0.13777791
      0.88000000     -0.14678109     -0.20532713     -0.13644421
      0.89000000     -0.13991688     -0.20240380     -0.13473753
      0.90000000     -0.13255761     -0.19906760     -0.13264318
      0.91000000     -0.12468571     -0.19530289     -0.13014612
      0.92000000     -0.11628314     -0.19109365     -0.12723092
      0.93000000     -0.10733139     -0.18642344     -0.12388182
      0.94000000    -0.097811468     -0.18127545     -0.12008265
      0.95000000    -0.087703857     -0.17563241     -0.11581683
      0.96000000    -0.076988527     -0.16947663     -0.11106738
      0.97000000    -0.065644906     -0.16278996     -0.10581691
      0.98000000    -0.053651829     -0.15555377     -0.10004754
      0.99000000    -0.040987569     -0.14774896    -0.093740989
       1.0000000    -0.027629781     -0.13935590    -0.086878455
