Results for:	Listing of Longitudinal Aberration Data


File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\US005233474_Example01P.zmx
Title:	US 5,233,474 Example 1 (Ricoh smc Pentax-FA 28mm F2.8 AL)
Date:	11/7/2025 3:52:28 PM

0 message(s) in output.
1 series table(s) in output.

Table series: Units are Millimeters.
      Rel. Pupil          0.4861          0.5876          0.6563
  --------------  --------------  --------------  --------------
      0.00000000    -0.047783348  8.0594612E-003     0.066753519
     0.010000000    -0.047797032  8.0418630E-003     0.066735032
     0.020000000    -0.047851759  7.9714765E-003     0.066661089
     0.030000000    -0.047942942  7.8541880E-003     0.066537871
     0.040000000    -0.048070535  7.6900312E-003     0.066365408
     0.050000000    -0.048234477  7.4790534E-003     0.066143744
     0.060000000    -0.048434688  7.2213156E-003     0.065872935
     0.070000000    -0.048671070  6.9168930E-003     0.065553048
     0.080000000    -0.048943506  6.5658750E-003     0.065184166
     0.090000000    -0.049251859  6.1683656E-003     0.064766384
      0.10000000    -0.049595974  5.7244839E-003     0.064299809
      0.11000000    -0.049975677  5.2343646E-003     0.063784566
      0.12000000    -0.050390772  4.6981581E-003     0.063220792
      0.13000000    -0.050841043  4.1160313E-003     0.062608640
      0.14000000    -0.051326253  3.4881685E-003     0.061948279
      0.15000000    -0.051846140  2.8147715E-003     0.061239894
      0.16000000    -0.052400422  2.0960608E-003     0.060483688
      0.17000000    -0.052988793  1.3322761E-003     0.059679882
      0.18000000    -0.053610919  5.2367745E-004     0.058828714
      0.19000000    -0.054266445 -3.2945403E-004     0.057930445
      0.20000000    -0.054954985 -1.2268151E-003     0.056985355
      0.21000000    -0.055676128 -2.1680790E-003     0.055993745
      0.22000000    -0.056429430 -3.1528950E-003     0.054955942
      0.23000000    -0.057214421 -4.1808862E-003     0.053872294
      0.24000000    -0.058030596 -5.2516487E-003     0.052743177
      0.25000000    -0.058877417 -6.3647504E-003     0.051568992
      0.26000000    -0.059754310 -7.5197286E-003     0.050350172
      0.27000000    -0.060660667 -8.7160893E-003     0.049087177
      0.28000000    -0.061595839 -9.9533048E-003     0.047780500
      0.29000000    -0.062559136    -0.011230812     0.046430669
      0.30000000    -0.063549826    -0.012548010     0.045038246
      0.31000000    -0.064567132    -0.013904260     0.043603833
      0.32000000    -0.065610229    -0.015298879     0.042128070
      0.33000000    -0.066678243    -0.016731141     0.040611642
      0.34000000    -0.067770247    -0.018200273     0.039055278
      0.35000000    -0.068885258    -0.019705453     0.037459754
      0.36000000    -0.070022234    -0.021245806     0.035825899
      0.37000000    -0.071180074    -0.022820400     0.034154593
      0.38000000    -0.072357609    -0.024428247     0.032446776
      0.39000000    -0.073553602    -0.026068294     0.030703448
      0.40000000    -0.074766745    -0.027739424     0.028925671
      0.41000000    -0.075995651    -0.029440448     0.027114577
      0.42000000    -0.077238853    -0.031170104     0.025271372
      0.43000000    -0.078494799    -0.032927050     0.023397335
      0.44000000    -0.079761846    -0.034709863     0.021493830
      0.45000000    -0.081038256    -0.036517028     0.019562306
      0.46000000    -0.082322189    -0.038346939     0.017604303
      0.47000000    -0.083611697    -0.040197888     0.015621461
      0.48000000    -0.084904722    -0.042068065     0.013615521
      0.49000000    -0.086199084    -0.043955545     0.011588334
      0.50000000    -0.087492474    -0.045858282  9.5418723E-003
      0.51000000    -0.088782455    -0.047774108  7.4782259E-003
      0.52000000    -0.090066443    -0.049700721  5.3996190E-003
      0.53000000    -0.091341708    -0.051635678  3.3084130E-003
      0.54000000    -0.092605353    -0.053576378  1.2071253E-003
      0.55000000    -0.093854320    -0.055520067 -9.0157578E-004
      0.56000000    -0.095085369    -0.057463817 -3.0148522E-003
      0.57000000    -0.096295071    -0.059404523 -5.1296880E-003
      0.58000000    -0.097479795    -0.061338886 -7.2428778E-003
      0.59000000    -0.098635701    -0.063263403 -9.3510151E-003
      0.60000000    -0.099758718    -0.065174355    -0.011450478
      0.61000000     -0.10084454    -0.067067797    -0.013537423
      0.62000000     -0.10188861    -0.068939534    -0.015607758
      0.63000000     -0.10288609    -0.070785113    -0.017657135
      0.64000000     -0.10383186    -0.072599807    -0.019680937
      0.65000000     -0.10472052    -0.074378596    -0.021674252
      0.66000000     -0.10554631    -0.076116145    -0.023631861
      0.67000000     -0.10630315    -0.077806791    -0.025548215
      0.68000000     -0.10698460    -0.079444515    -0.027417414
      0.69000000     -0.10758383    -0.081022926    -0.029233187
      0.70000000     -0.10809360    -0.082535231    -0.030988864
      0.71000000     -0.10850622    -0.083974212    -0.032677353
      0.72000000     -0.10881357    -0.085332201    -0.034291113
      0.73000000     -0.10900701    -0.086601046    -0.035822122
      0.74000000     -0.10907740    -0.087772082    -0.037261846
      0.75000000     -0.10901502    -0.088836099    -0.038601209
      0.76000000     -0.10880957    -0.089783303    -0.039830552
      0.77000000     -0.10845012    -0.090603281    -0.040939598
      0.78000000     -0.10792509    -0.091284955    -0.041917408
      0.79000000     -0.10722214    -0.091816545    -0.042752341
      0.80000000     -0.10632822    -0.092185517    -0.043432000
      0.81000000     -0.10522943    -0.092378533    -0.043943190
      0.82000000     -0.10391104    -0.092381399    -0.044271855
      0.83000000     -0.10235738    -0.092179004    -0.044403024
      0.84000000     -0.10055181    -0.091755262    -0.044320749
      0.85000000    -0.098476634    -0.091093042    -0.044008034
      0.86000000    -0.096113049    -0.090174095    -0.043446766
      0.87000000    -0.093441060    -0.088978981    -0.042617635
      0.88000000    -0.090439393    -0.087486983    -0.041500050
      0.89000000    -0.087085423    -0.085676018    -0.040072050
      0.90000000    -0.083355071    -0.083522542    -0.038310205
      0.91000000    -0.079222705    -0.081001446    -0.036189514
      0.92000000    -0.074661036    -0.078085945    -0.033683290
      0.93000000    -0.069640998    -0.074747454    -0.030763035
      0.94000000    -0.064131624    -0.070955464    -0.027398314
      0.95000000    -0.058099916    -0.066677398    -0.023556608
      0.96000000    -0.051510693    -0.061878459    -0.019203162
      0.97000000    -0.044326442    -0.056521466    -0.014300816
      0.98000000    -0.036507149    -0.050566685 -8.8098303E-003
      0.99000000    -0.028010099    -0.043971615 -2.6876743E-003
       1.0000000    -0.018789703    -0.036690798  4.1111725E-003
