Results for:	Listing of Longitudinal Aberration Data


File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\US005325234_Example03P.zmx
Title:	US 5,325,234 Example 3 (Ricoh smc Pentax-DA 200mm F2.8 ED[IF] SDM)
Date:	11/7/2025 3:52:31 PM

0 message(s) in output.
1 series table(s) in output.

Table series: Units are Millimeters.
      Rel. Pupil          0.4861          0.5876          0.6563
  --------------  --------------  --------------  --------------
      0.00000000    -0.050352010 -5.2800004E-003      0.23687425
     0.010000000    -0.050453039 -5.4035841E-003      0.23674335
     0.020000000    -0.050856890 -5.8976649E-003      0.23621999
     0.030000000    -0.051529039 -6.7202344E-003      0.23534862
     0.040000000    -0.052468082 -7.8699432E-003      0.23413057
     0.050000000    -0.053672054 -9.3449014E-003      0.23256769
     0.060000000    -0.055138422    -0.011142677      0.23066240
     0.070000000    -0.056864092    -0.013260294      0.22841761
     0.080000000    -0.058845397    -0.015694231      0.22583682
     0.090000000    -0.061078105    -0.018440420      0.22292402
      0.10000000    -0.063557407    -0.021494239      0.21968379
      0.11000000    -0.066277920    -0.024850515      0.21612122
      0.12000000    -0.069233681    -0.028503517      0.21224197
      0.13000000    -0.072418144    -0.032446954      0.20805224
      0.14000000    -0.075824173    -0.036673969      0.20355879
      0.15000000    -0.079444043    -0.041177136      0.19876897
      0.16000000    -0.083269427    -0.045948453      0.19369065
      0.17000000    -0.087291399    -0.050979341      0.18833230
      0.18000000    -0.091500422    -0.056260632      0.18270297
      0.19000000    -0.095886342    -0.061782570      0.17681228
      0.20000000     -0.10043839    -0.067534799      0.17067046
      0.21000000     -0.10514515    -0.073506356      0.16428831
      0.22000000     -0.10999459    -0.079685669      0.15767726
      0.23000000     -0.11497403    -0.086060543      0.15084934
      0.24000000     -0.12007012    -0.092618157      0.14381720
      0.25000000     -0.12526886    -0.099345050      0.13659412
      0.26000000     -0.13055557     -0.10622712      0.12919402
      0.27000000     -0.13591491     -0.11324959      0.12163147
      0.28000000     -0.14133081     -0.12039705      0.11392170
      0.29000000     -0.14678652     -0.12765338      0.10608060
      0.30000000     -0.15226458     -0.13500180     0.098124745
      0.31000000     -0.15774678     -0.14242480     0.090071397
      0.32000000     -0.16321420     -0.14990419     0.081938527
      0.33000000     -0.16864713     -0.15742102     0.073744819
      0.34000000     -0.17402512     -0.16495565     0.065509686
      0.35000000     -0.17932692     -0.17248763     0.057253286
      0.36000000     -0.18453050     -0.17999578     0.048996534
      0.37000000     -0.18961300     -0.18745814     0.040761118
      0.38000000     -0.19455074     -0.19485193     0.032569514
      0.39000000     -0.19931919     -0.20215356     0.024445004
      0.40000000     -0.20389294     -0.20933863     0.016411692
      0.41000000     -0.20824572     -0.21638186  8.4945249E-003
      0.42000000     -0.21235034     -0.22325712  7.1930601E-004
      0.43000000     -0.21617869     -0.22993738 -6.8872808E-003
      0.44000000     -0.21970169     -0.23639471    -0.014297653
      0.45000000     -0.22288934     -0.24260023    -0.021483305
      0.46000000     -0.22571059     -0.24852412    -0.028414792
      0.47000000     -0.22813342     -0.25413558    -0.035061700
      0.48000000     -0.23012473     -0.25940282    -0.041392629
      0.49000000     -0.23165036     -0.26429299    -0.047375147
      0.50000000     -0.23267507     -0.26877222    -0.052975797
      0.51000000     -0.23316246     -0.27280552    -0.058160049
      0.52000000     -0.23307500     -0.27635684    -0.062892269
      0.53000000     -0.23237393     -0.27938893    -0.067135698
      0.54000000     -0.23101932     -0.28186340    -0.070852406
      0.55000000     -0.22896992     -0.28374064    -0.074003278
      0.56000000     -0.22618322     -0.28497980    -0.076547965
      0.57000000     -0.22261535     -0.28553874    -0.078444856
      0.58000000     -0.21822109     -0.28537402    -0.079651031
      0.59000000     -0.21295376     -0.28444082    -0.080122232
      0.60000000     -0.20676524     -0.28269293    -0.079812808
      0.61000000     -0.19960589     -0.28008267    -0.078675685
      0.62000000     -0.19142449     -0.27656090    -0.076662306
      0.63000000     -0.18216823     -0.27207690    -0.073722592
      0.64000000     -0.17178260     -0.26657838    -0.069804885
      0.65000000     -0.16021139     -0.26001138    -0.064855899
      0.66000000     -0.14739653     -0.25232026    -0.058820656
      0.67000000     -0.13327816     -0.24344754    -0.051642439
      0.68000000     -0.11779447     -0.23333399    -0.043262694
      0.69000000     -0.10088165     -0.22191841    -0.033621015
      0.70000000    -0.082473771     -0.20913766    -0.022655033
      0.71000000    -0.062502795     -0.19492654    -0.010300358
      0.72000000    -0.040898406     -0.17921770  3.5094918E-003
      0.73000000    -0.017587952     -0.16194158     0.018843226
      0.74000000  7.5036629E-003     -0.14302631     0.035771803
      0.75000000     0.034454078     -0.12239759     0.054368561
      0.76000000     0.063343590    -0.099978637     0.074709318
      0.77000000     0.094255276    -0.075690025     0.096872473
      0.78000000      0.12727511    -0.049449589      0.12093913
      0.79000000      0.16249212    -0.021172302      0.14699319
      0.80000000      0.19999850  9.2298674E-003      0.17512155
      0.81000000      0.23988979     0.041848091      0.20541415
      0.82000000      0.28226504     0.076776839      0.23796421
      0.83000000      0.32722698      0.11411404      0.27286832
      0.84000000      0.37488222      0.15396126      0.31022667
      0.85000000      0.42534144      0.19642389      0.35014318
      0.86000000      0.47871963      0.24161135      0.39272574
      0.87000000      0.53513631      0.28963730      0.43808640
      0.88000000      0.59471579      0.34061989      0.48634160
      0.89000000      0.65758747      0.39468199      0.53761244
      0.90000000      0.72388610      0.45195148      0.59202491
      0.91000000      0.79375213      0.51256156      0.64971020
      0.92000000      0.86733204      0.57665103      0.71080500
      0.93000000      0.94477873      0.64436473      0.77545187
      0.94000000       1.0262520      0.71585360      0.84379945
      0.95000000       1.1119187      0.79127561      0.91600314
      0.96000000       1.2019536      0.87079582      0.99222531
      0.97000000       1.2965398      0.95458694       1.0726359
      0.98000000       1.3958692       1.0428299       1.1574126
      0.99000000       1.5001432       1.1357144       1.2467419
       1.0000000       1.6095734       1.2334395       1.3408195
