Results for:	RMS Wave Error vs. Field


File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\US005325234_Example03P.zmx
Title:	US 5,325,234 Example 3 (Ricoh smc Pentax-DA 200mm F2.8 ED[IF] SDM)
Date:	11/7/2025 5:00:43 PM

0 message(s) in output.
RMS units are in waves.
Reference: Centroid.
Field units are in Millimeters.
1 series table(s) in output.

Table series: Field is oriented along the +y direction.
           Field            Poly          0.4861          0.5876          0.6563
  --------------  --------------  --------------  --------------  --------------
      0.00000000       1.7903699       2.3522676       1.3475766       1.5057050
       1.4400000       1.8114963       2.3811881       1.3630768       1.5140027
       2.8800000       1.8735123       2.4661909       1.4084851       1.5388446
       4.3200000       1.9727658       2.6025918       1.4808622       1.5800790
       5.7600000       2.1043559       2.7841794       1.5762227       1.6374625
       7.2000000       2.2632306       3.0046689       1.6903902       1.7106888
       8.6400000       2.4449797       3.2587219       1.8196308       1.7994479
       10.080000       2.6462712       3.5424669       1.9610319       1.9035242
       11.520000       2.8650496       3.8536866       2.1127183       2.0229361
       12.960000       3.1006256       4.1918444       2.2740081       2.1581070
       14.400000       3.3537366       4.5580587       2.4455677       2.3100553
       15.840000       3.6266042       4.9550620       2.6295753       2.4805796
       17.280000       3.9229744       5.3871390       2.8298660       2.6724103
       18.720000       4.2481093       5.8600163       3.0519979       2.8892910
       20.160000       4.6086856       6.3806719       3.3031659       3.1359532
       21.600000       5.0125622       6.9570325       3.5918951       3.4179544
