Results for:	RMS Wave Error vs. Field


File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\US005434713_Example02_Tale53.zmx
Title:	Nikon AI AF Fisheye-Nikkor 16mm f/2.8D (US 5,434,713 Example 2)
Date:	11/7/2025 5:00:44 PM

0 message(s) in output.
RMS units are in waves.
Reference: Centroid.
Field units are in degrees.
1 series table(s) in output.

Table series: Field is oriented along the +y direction.
           Field            Poly          0.4861          0.5876          0.6563
  --------------  --------------  --------------  --------------  --------------
      0.00000000       1.0714791       1.3447873       1.0850221      0.67710905
       6.0000000       1.0414820       1.3076747       1.0539804      0.65025629
       12.000000      0.95490675       1.2005727      0.96254401      0.57190476
       18.000000      0.82644901       1.0416190      0.81842176      0.45333928
       24.000000      0.70095303      0.88579086      0.64827390      0.34247201
       30.000000      0.68699367      0.86601387      0.54095545      0.38311447
       36.000000      0.89350516       1.1191929      0.65831995      0.63216796
       42.000000       1.2909970       1.6140369       1.0032515      0.99533701
       48.000000       1.8065387       2.2618110       1.4714859       1.4216771
       54.000000       2.3910093       3.0026296       2.0024684       1.8830545
       60.000000       3.0062937       3.7905875       2.5572632       2.3532975
       66.000000       3.6160369       4.5813283       3.1014950       2.8049112
       72.000000       4.1859026       5.3306299       3.6044487       3.2123440
       78.000000       4.6899816       5.9993339       4.0462223       3.5604022
       84.000000       5.1211035       6.5606793       4.4308330       3.8587791
       90.000000       5.4880612       6.9906652       4.7892664       4.1504851
