Results for:	RMS Wave Error vs. Field


File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\US005557473_Example03P.zmx
Title:	US 5,557,473 Example 3 (Nikon AF Nikkor 28mm f/2.8D)
Date:	11/7/2025 5:00:48 PM

0 message(s) in output.
RMS units are in waves.
Reference: Centroid.
Field units are in Millimeters.
1 series table(s) in output.

Table series: Field is oriented along the +y direction.
           Field            Poly          0.4861          0.5876          0.6563
  --------------  --------------  --------------  --------------  --------------
      0.00000000      0.82617110      0.87949398      0.93050453      0.63900526
       1.4400000      0.85121861      0.90108276      0.94510491      0.65123237
       2.8800000      0.92106215      0.96341980      0.98727170      0.68670384
       4.3200000       1.0226147       1.0595047       1.0520938      0.74164446
       5.7600000       1.1397872       1.1784015       1.1314327      0.80950530
       7.2000000       1.2559489       1.3059176       1.2141541      0.88105543
       8.6400000       1.3543162       1.4253631       1.2866008      0.94488966
       10.080000       1.4180516       1.5187471       1.3333580      0.98835075
       11.520000       1.4314326       1.5692203       1.3386045      0.99917033
       12.960000       1.3841026       1.5669610       1.2892212      0.96919920
       14.400000       1.2846564       1.5247818       1.1839698      0.90497663
       15.840000       1.2017682       1.5167979       1.0638553      0.85823648
       17.280000       1.3340130       1.7286754       1.0876264      0.97262090
       18.720000       1.9163855       2.3872069       1.5089943       1.4097411
       20.160000       3.0177791       3.6098600       2.4191893       2.2192571
       21.600000       4.6704653       5.4689474       3.8279053       3.4324803
